id,brand,model,year,price,hp,fuel_type,mileage,body_type,transmission,country,url
acad365a-fa10-4038-b2c8-33ba26bdc09d,Tesla,Model Y,2022,22641,120.0,Electric,77983,compact,Automatic,IT,https://www.autoscout24.com/offers/tesla-model-y-single-motor-electric-red-acad365a-fa10-4038-b2c8-33ba26bdc09d
b5b78783-855a-4dc4-af4d-69455a70763e,CUPRA,Formentor,2022,28944,245.0,Electric/Gasoline,52335,compact,Automatic,NL,https://www.autoscout24.com/offers/cupra-formentor-1-4-e-hybrid-vz-245-pk-vz-performance-edition-elek-electric-gasoline-green-b5b78783-855a-4dc4-af4d-69455a70763e
8534614d-f278-49bd-a5cb-db548675d2d7,Volkswagen,Caddy,2022,30689,122.0,Diesel,28952,compact,Automatic,DE,https://www.autoscout24.com/offers/volkswagen-caddy-2-0-tdi-style-euro-6d-klima-led-navi-alu-diesel-blue-8534614d-f278-49bd-a5cb-db548675d2d7
90373fae-6fad-4d48-ae6f-338e16288e54,Opel,Crossland X,2022,16850,131.0,Gasoline,39308,compact,Automatic,DE,https://www.autoscout24.com/offers/opel-crossland-x-gs-line-gasoline-black-90373fae-6fad-4d48-ae6f-338e16288e54
70067a40-3a80-481b-adba-4b8965118ac3,BMW,X1,2022,31845,326.0,Electric/Gasoline,154300,compact,Automatic,NL,https://www.autoscout24.com/offers/bmw-x1-xdrive30e-x-line--widescreen-facelift--sportlede-electric-gasoline-white-70067a40-3a80-481b-adba-4b8965118ac3
87ad8854-2446-47d9-996d-706a314c02d7,Audi,SQ5,2022,44450,341.0,Diesel,134736,compact,Automatic,DE,https://www.autoscout24.com/offers/audi-sq5-tdi-ahk-matrix-pano-hud-b-o-diesel-black-87ad8854-2446-47d9-996d-706a314c02d7
e014d769-8ea1-48e0-a04a-09957ee5aba2,Skoda,Kodiaq,2022,25940,150.0,Gasoline,167460,compact,Automatic,NL,https://www.autoscout24.com/offers/skoda-kodiaq-1-5-tsi-dsg-bns-edition--nw-model--pano--acc-gasoline-grey-e014d769-8ea1-48e0-a04a-09957ee5aba2
5dec68fa-4a74-44ed-b828-6c0c5e5e7f61,Skoda,Fabia,2022,13990,95.0,Gasoline,88410,compact,Manual,DE,https://www.autoscout24.com/offers/skoda-fabia-ambition-1-0-tsi-navi-funktion-spurwechsel-gasoline-black-5dec68fa-4a74-44ed-b828-6c0c5e5e7f61
362749a5-06df-42c9-bd07-31ba996b9a37,Skoda,Karoq,2022,26460,150.0,Gasoline,11188,compact,Automatic,DE,https://www.autoscout24.com/offers/skoda-karoq-1-5-tsi-act-style-aut-navi-cam-ahk-led-pdc-shz-gasoline-black-362749a5-06df-42c9-bd07-31ba996b9a37
b22090b8-6be1-48f2-ba72-42f663ac0389,Peugeot,3008,2022,25390,299.0,Electric/Gasoline,49290,compact,Automatic,DE,https://www.autoscout24.com/offers/peugeot-3008-gt-pack-hybrid4-300-e-eat8-obc7-4-black-pk-leder-electric-gasoline-grey-b22090b8-6be1-48f2-ba72-42f663ac0389
75392ede-42be-450c-9dc3-7a0ce6fe7496,BMW,X1,2022,27495,220.0,Electric/Gasoline,80873,compact,Automatic,NL,https://www.autoscout24.com/offers/bmw-x1-xdrive25e-high-executive93-sohpanodealer-onder-electric-gasoline-black-75392ede-42be-450c-9dc3-7a0ce6fe7496
ed04fceb-7f80-491b-8baa-f6b8c80e9d65,Volkswagen,Tiguan Allspace,2022,27340,200.0,Diesel,119526,compact,Automatic,DE,https://www.autoscout24.com/offers/volkswagen-tiguan-allspace-life-4motion-2-0-tdi-anhaengerkupplung-diesel-white-ed04fceb-7f80-491b-8baa-f6b8c80e9d65
2486aa97-0bb6-4de3-b6be-aa139ac88724,CUPRA,Leon,2022,27450,300.0,Gasoline,54950,compact,Automatic,DE,https://www.autoscout24.com/offers/cupra-leon-2-0-tsi-dsg-vz-led-navi-beats-audio-fapa-xl-gasoline-grey-2486aa97-0bb6-4de3-b6be-aa139ac88724
a5083f15-5282-41cb-8558-e097a6ef0d64,Alfa Romeo,Stelvio,2022,24900,160.0,Diesel,95000,compact,Automatic,IT,https://www.autoscout24.com/offers/alfa-romeo-stelvio-2-2-turbo-diesel-160cv-super-at8-rwd-2022-diesel-grey-a5083f15-5282-41cb-8558-e097a6ef0d64
b12bea0a-ebf4-4d4e-8572-a4b18f159775,Audi,RS Q8,2022,88999,600.0,Electric/Gasoline,49000,compact,Automatic,IT,https://www.autoscout24.com/offers/audi-rs-q8-rs-4-0-mhev-quattro-tiptronic-garanzia-audi-electric-gasoline-black-b12bea0a-ebf4-4d4e-8572-a4b18f159775
e81f1119-7a2f-44e2-ab97-349c2602e0f1,Audi,Q3,2022,28480,150.0,Electric/Gasoline,128570,compact,Automatic,DE,https://www.autoscout24.com/offers/audi-q3-45-tfsie-s-line-ahk-pano-led-lm-20-navi-temp-electric-gasoline-grey-e81f1119-7a2f-44e2-ab97-349c2602e0f1
a6c132ee-3e8c-4706-a972-5ecf1b55a41a,Mercedes-Benz,C 300,2022,33220,204.0,Electric/Gasoline,102337,compact,Automatic,DE,https://www.autoscout24.com/offers/mercedes-benz-c-300-e-amg-sport-led-kamera-distr-ambi-night-electric-gasoline-black-a6c132ee-3e8c-4706-a972-5ecf1b55a41a
4d56d7be-e621-4af1-8f5c-faa3583ef0d5,Renault,Captur,2022,14850,143.0,Electric/Gasoline,85803,compact,Automatic,IT,https://www.autoscout24.com/offers/renault-captur-full-hybrid-e-tech-145-zen-electric-gasoline-blue-4d56d7be-e621-4af1-8f5c-faa3583ef0d5
bec95c6e-c8fa-4ba0-bdb3-006009f812d3,Maserati,Levante,2022,39900,330.0,Electric/Gasoline,98000,compact,Automatic,IT,https://www.autoscout24.com/offers/maserati-levante-2-0-mhev-gt-330cv-auto-electric-gasoline-grey-bec95c6e-c8fa-4ba0-bdb3-006009f812d3
ae9c392f-1c0d-4a94-a010-55f9279c201f,Mercedes-Benz,E 200,2022,24900,160.0,Diesel,268295,compact,Automatic,IT,https://www.autoscout24.com/offers/mercedes-benz-e-200-classe-e-w213-berlina-d-sport-auto-my20-diesel-black-ae9c392f-1c0d-4a94-a010-55f9279c201f
e5e3bdd6-eca0-4e9f-83f6-7b0d6636b36a,Mercedes-Benz,CLA 200,2022,31890,150.0,Diesel,43102,compact,Automatic,BE,https://www.autoscout24.com/offers/mercedes-benz-cla-200-200d-amg-line-diesel-e5e3bdd6-eca0-4e9f-83f6-7b0d6636b36a
f818874c-a764-4e15-8464-dc4628ecb637,Volkswagen,T6.1 Caravelle,2022,41450,150.0,Diesel,71234,compact,Automatic,DE,https://www.autoscout24.com/offers/volkswagen-t6-1-caravelle-t6-1-2-0-tdi-caravelle-comfortline-bluetooth-navi-diesel-black-f818874c-a764-4e15-8464-dc4628ecb637
7bd16d24-7e0c-4f96-87f6-44ca9ec50d98,Toyota,Yaris,2022,18149,116.0,Electric/Gasoline,31973,compact,Automatic,NL,https://www.autoscout24.com/offers/toyota-yaris-1-5-hybrid-dynamic-business-electric-gasoline-grey-7bd16d24-7e0c-4f96-87f6-44ca9ec50d98
bbc7a7a2-efab-4a75-bae4-ff19786cb59f,CUPRA,Formentor,2022,27880,245.0,Electric/Gasoline,47300,compact,Automatic,AT,https://www.autoscout24.com/offers/cupra-formentor-vz-phev-150-245-dsg-19-zoll-dcc-voll-led-virtuell-navi-acc-kamera-keyless-electric-gasoline-blue-bbc7a7a2-efab-4a75-bae4-ff19786cb59f
7804efaf-7f26-487d-82ed-fbd500a6b184,Volvo,XC60,2022,34720,197.0,Diesel,95000,compact,Automatic,DE,https://www.autoscout24.com/offers/volvo-xc60-plus-bright-awd-digitales-cockpit-memory-sitze-sou-diesel-grey-7804efaf-7f26-487d-82ed-fbd500a6b184
687f07e3-bb99-4470-834e-adea43ab9216,Volkswagen,Taigo,2022,20890,110.0,Gasoline,14630,compact,Automatic,DE,https://www.autoscout24.com/offers/volkswagen-taigo-life-1-0-tsi-iq-drive-gasoline-silver-687f07e3-bb99-4470-834e-adea43ab9216
23d28e6e-df04-41e6-b530-359cccf9f7d4,Kia,Sportage,2022,24580,150.0,Gasoline,41200,compact,Manual,DE,https://www.autoscout24.com/offers/kia-sportage-1-6-t-gdi-spirit-klima-navi-led-sitzheizung-gasoline-green-23d28e6e-df04-41e6-b530-359cccf9f7d4
86425677-c203-4712-9c9c-8a701978cfba,Opel,Astra,2022,14785,110.0,Gasoline,53011,compact,Manual,DE,https://www.autoscout24.com/offers/opel-astra-edition-inl-allwetter-parksensoren-v-h-gasoline-black-86425677-c203-4712-9c9c-8a701978cfba
a5fa91be-f8d2-4ee9-8569-c3367610fdf6,Volkswagen,Tiguan,2022,26990,190.0,Gasoline,84096,compact,Automatic,DE,https://www.autoscout24.com/offers/volkswagen-tiguan-2-0-tsi-4motion-life-dsg-navi-acc-led-ahk-gasoline-black-a5fa91be-f8d2-4ee9-8569-c3367610fdf6
de7af4fa-2992-4737-9e31-7aef94cd5e3e,Volkswagen,Tiguan,2022,32800,150.0,Gasoline,91309,compact,Automatic,BE,https://www.autoscout24.com/offers/volkswagen-tiguan-tiguan-1-5-tsi-r-line-business-premium-opf-dsg-gasoline-white-de7af4fa-2992-4737-9e31-7aef94cd5e3e
a83562aa-363b-4a93-b0c6-1ec6990adcb6,CUPRA,Formentor,2022,21990,204.0,Electric/Gasoline,35354,compact,Automatic,DE,https://www.autoscout24.com/offers/cupra-formentor-1-4-tsi-e-hybrid-dsg-kamera-navi-led-electric-gasoline-red-a83562aa-363b-4a93-b0c6-1ec6990adcb6
75c519bd-81ea-4b75-8dbf-3b13549a0309,Genesis,GV70,2022,43990,209.0,Diesel,26150,compact,Automatic,DE,https://www.autoscout24.com/offers/genesis-gv70-sport-4wd-ad-el-panodach-memory-sitze-led-acc-el-diesel-grey-75c519bd-81ea-4b75-8dbf-3b13549a0309
d217328d-3211-4bf6-9a56-02a997a0540c,Peugeot,5008,2022,16900,131.0,Diesel,118097,compact,Automatic,IT,https://www.autoscout24.com/offers/peugeot-5008-bluehdi-130-s-s-eat8-active-pack-diesel-orange-d217328d-3211-4bf6-9a56-02a997a0540c
67784bdb-92bb-4e7d-8c47-f3f5d1f1b2f9,BMW,730,2022,42990,286.0,Diesel,173895,compact,Automatic,DE,https://www.autoscout24.com/offers/bmw-730-d-x-drive-m-paket-vir-gshd-360-display-laser-diesel-black-67784bdb-92bb-4e7d-8c47-f3f5d1f1b2f9
d21d8795-7887-4bfe-80b8-f91ba88cfbf5,Ford,Puma,2022,18690,125.0,Gasoline,64400,compact,Automatic,DE,https://www.autoscout24.com/offers/ford-puma-1-0-st-linie-aut-led-navi-gra-shz-lhz-dab-gasoline-grey-d21d8795-7887-4bfe-80b8-f91ba88cfbf5
