id,brand,model,year,price,hp,fuel_type,mileage,body_type,transmission,country,url
9fd01f9d-f9d1-422d-8ae0-ee20b036311b,Nissan,E-NV200,2019,18390,109,Electric,46189,convertible,Automatic,DE,https://www.autoscout24.com/offers/nissan-e-nv200-evalia-kombi-5-sitzer-winter-paket-40-kw-electric-white-9fd01f9d-f9d1-422d-8ae0-ee20b036311b
43bf1b40-3138-4341-ab7b-4e6d345cfa88,SEAT,Leon,2019,19990,290,Gasoline,108000,convertible,Automatic,DE,https://www.autoscout24.com/offers/seat-leon-cupra-290-led-virtual-beats-19zoll-cupra-290-gasoline-black-43bf1b40-3138-4341-ab7b-4e6d345cfa88
9de3b215-7941-4f0b-a35a-00ede7b6ed4b,Mercedes-Benz,B 180,2019,15500,116,Diesel,181340,convertible,Automatic,AT,https://www.autoscout24.com/offers/mercedes-benz-b-180-d-progressive-pts-shz-led-eheck-mbux-aut-diesel-white-9de3b215-7941-4f0b-a35a-00ede7b6ed4b
95b766d3-26b2-434d-a584-a059de1b267e,Audi,Q3,2019,22940,150,Gasoline,56874,convertible,Automatic,DE,https://www.autoscout24.com/offers/audi-q3-35-tfsi-aut-led-pdc-shz-klima-gasoline-grey-95b766d3-26b2-434d-a584-a059de1b267e
3d76afba-dc68-4e88-a501-be14a78e9750,Volkswagen,Golf GTI,2019,24990,290,Gasoline,95578,convertible,Automatic,BE,https://www.autoscout24.com/offers/volkswagen-golf-gti-golf-gti-2-0tsi-290pk-automaat-sportzetels-pdc-acc-navi-alcantara-zetelverwarming-gasoline-white-3d76afba-dc68-4e88-a501-be14a78e9750
7e715aed-8319-4b02-afa8-a3bd701b8055,Land Rover,Range Rover Velar,2019,39990,300,Diesel,108067,convertible,Automatic,AT,https://www.autoscout24.com/offers/land-rover-range-rover-velar-d300-hse-diesel-brown-7e715aed-8319-4b02-afa8-a3bd701b8055
b6f98da2-ca90-4414-b730-ad8c9e337236,BMW,118,2019,21900,150,Diesel,113490,convertible,Automatic,IT,https://www.autoscout24.com/offers/bmw-118-118d-msport-auto-sedili-elettrici-a-guscio-m-sport-alcantara-black-vetri-posteriori-oscurati-bmw-live-cockpit-plus-diesel-black-b6f98da2-ca90-4414-b730-ad8c9e337236
9521b727-95b2-4c8f-a167-92e84b1efabc,Land Rover,Discovery,2019,32790,306,Diesel,112785,convertible,Automatic,DE,https://www.autoscout24.com/offers/land-rover-discovery-landrover-5-hse-sdv6-diesel-grey-9521b727-95b2-4c8f-a167-92e84b1efabc
39ba97c4-a973-4a07-9c1a-91c05a1e95c6,Mercedes-Benz,V 250,2019,43900,190,Diesel,79900,convertible,Automatic,LU,https://www.autoscout24.com/offers/mercedes-benz-v-250-d-amg-line-7-sitze-cuir-navi-1-hand-diesel-grey-39ba97c4-a973-4a07-9c1a-91c05a1e95c6
7283e454-bc91-4ff7-9aa8-311d5c3f861a,Peugeot,308,2019,8990,110,Gasoline,110100,convertible,Manual,DE,https://www.autoscout24.com/offers/peugeot-308-1-2-e-thp-puretech-110-active-klimaa-2xklima-gasoline-red-7283e454-bc91-4ff7-9aa8-311d5c3f861a
