id,brand,model,year,price,hp,fuel_type,mileage,body_type,transmission,country,url
63f5e3c1-9970-4b76-887c-14472400843d,Hyundai,SANTA FE,2018,18700,188,Gasoline,80279,coupe,Manual,DE,https://www.autoscout24.com/offers/hyundai-santa-fe-2-4-188ps-8-alu-navi-kamera-sounds-gasoline-black-63f5e3c1-9970-4b76-887c-14472400843d
067feb05-6dce-44aa-a4a2-bbdebad017c2,Audi,TT,2018,25977,179,Gasoline,86600,coupe,Automatic,DE,https://www.autoscout24.com/offers/audi-tt-1-8-16v-tfsi-navi-shz-pdc-alu18-led-mfl-bt-gasoline-white-067feb05-6dce-44aa-a4a2-bbdebad017c2
88dc5859-cda0-4f34-a861-abdf12e7a4fe,Volkswagen,Golf,2018,14249,116,Gasoline,89244,coupe,Manual,NL,https://www.autoscout24.com/offers/volkswagen-golf-7-5-join-2018--zuinig-luxe-uitvoering-89-244-km-gasoline-grey-88dc5859-cda0-4f34-a861-abdf12e7a4fe
cd9c7563-c3f7-4ed4-83d4-f4b61f9a9aff,Mercedes-Benz,A 220,2018,25986,190,Diesel,72000,coupe,Automatic,DE,https://www.autoscout24.com/offers/mercedes-benz-a-220-a-220-d-kompaktlim-amg-line-parktronic-hifi-klima-diesel-grey-cd9c7563-c3f7-4ed4-83d4-f4b61f9a9aff
43ee0535-a321-4641-ab02-46ba47ca4b44,Volkswagen,T-Roc,2018,20680,150,Gasoline,26472,coupe,Automatic,DE,https://www.autoscout24.com/offers/volkswagen-t-roc-t-roc-1-5-tsi-sport-acc-kamera-metallic-ambiente-gasoline-black-43ee0535-a321-4641-ab02-46ba47ca4b44
1d2309c8-1713-4307-abc3-eeae4e55767f,Toyota,C-HR,2018,16900,98,Electric/Gasoline,75250,coupe,Automatic,IT,https://www.autoscout24.com/offers/toyota-c-hr-1-8h-lounge-2wd-e-cvt-my18-electric-gasoline-grey-1d2309c8-1713-4307-abc3-eeae4e55767f
343fa9ed-1fa9-4a95-a111-46c6f0dcb9e0,Ford,Kuga,2018,13750,120,Diesel,106180,coupe,Manual,BE,https://www.autoscout24.com/offers/ford-kuga-tdci-fwd-st-line-diesel-white-343fa9ed-1fa9-4a95-a111-46c6f0dcb9e0
4474f8a5-913a-42a8-86a9-20ebc0529b52,Jeep,Compass,2018,19320,170,Gasoline,71107,coupe,Automatic,NL,https://www.autoscout24.com/offers/jeep-compass-1-4-multiair-opening-edition-4x4-automaat-origin-gasoline-grey-4474f8a5-913a-42a8-86a9-20ebc0529b52
34a5d342-8f68-487d-b01c-0c639ef25037,Fiat,500,2018,9900,69,Gasoline,36850,coupe,Manual,BE,https://www.autoscout24.com/offers/fiat-500-1-2i-lounge-1st-belgian-owner-just-serviced-gasoline-black-34a5d342-8f68-487d-b01c-0c639ef25037
af4b070e-95c6-490c-af25-c4097af04a5b,BMW,320,2018,22090,190,Diesel,121451,coupe,Automatic,AT,https://www.autoscout24.com/offers/bmw-320-320d-gt-xdrive-advantage-diesel-black-af4b070e-95c6-490c-af25-c4097af04a5b
6d2c9c4e-bb75-452f-bb1f-80c12737b10a,BMW,116,2018,7995,116,Diesel,221254,coupe,Manual,NL,https://www.autoscout24.com/offers/bmw-116-1-serie-116d-sport-line-edition--navi--cruise--diesel-grey-6d2c9c4e-bb75-452f-bb1f-80c12737b10a
717c09fe-3174-4529-9553-1153fbedb82d,Fiat,500,2018,8200,69,LPG,129000,coupe,Manual,IT,https://www.autoscout24.com/offers/fiat-500-1-2-lounge-easypower-gpl-69cv-lpg-white-717c09fe-3174-4529-9553-1153fbedb82d
