id,brand,model,year,price,hp,fuel_type,mileage,body_type,transmission,country,url
6f58511c-5706-4f3a-b999-01581c77f902,MINI,Cooper SE Countryman,2020,23500,,Electric/Gasoline,85030,suv,Automatic,NL,https://www.autoscout24.com/offers/mini-cooper-se-countryman-mini-2-0-all4-salt--apple-carplay--electric-gasoline-grey-6f58511c-5706-4f3a-b999-01581c77f902
a0e12f08-583e-4fb7-8e9c-e9c77574e510,Nissan,Navara,2020,22900,190.0,Diesel,160000,suv,Automatic,IT,https://www.autoscout24.com/offers/nissan-navara-nissan-navara-2-3-dci-n-guard-cab-4x4-diesel-white-a0e12f08-583e-4fb7-8e9c-e9c77574e510
7dce1a78-f028-412e-a281-82640d6e1c81,Ford,Mustang,2020,32990,310.0,Gasoline,99000,suv,Semi-automatic,IT,https://www.autoscout24.com/offers/ford-mustang-convertible-2-3-ecoboost-aut-2020-gasoline-black-7dce1a78-f028-412e-a281-82640d6e1c81
82dd7d70-c084-483b-a45d-32751211ec04,Audi,Q3,2020,27500,150.0,Electric/Gasoline,39531,suv,Automatic,IT,https://www.autoscout24.com/offers/audi-q3-q3-ii-2018-35-1-5-tfsi-mhev-business-advanced-s-tronic-electric-gasoline-grey-82dd7d70-c084-483b-a45d-32751211ec04
c7d259b8-d1d4-4c97-87a4-df7421903d6e,Opel,Astra,2020,11995,145.0,Gasoline,150246,suv,Automatic,NL,https://www.autoscout24.com/offers/opel-astra-sports-tourer-1-4-business-edition-aut-camera-cru-gasoline-grey-c7d259b8-d1d4-4c97-87a4-df7421903d6e
acf1e4ec-8059-47e5-9ad8-aebd06aa40c3,Lexus,UX 250h,2020,22900,152.0,Electric/Gasoline,60000,suv,Automatic,DE,https://www.autoscout24.com/offers/lexus-ux-250h-2-0-hybrid-automatik-leder-klima-navi-kam-electric-gasoline-black-acf1e4ec-8059-47e5-9ad8-aebd06aa40c3
79c1f8c3-9df0-4739-b4a4-b8cb1e381c0d,Mercedes-Benz,GLC 220,2020,33900,194.0,Diesel,71000,suv,Automatic,IT,https://www.autoscout24.com/offers/mercedes-benz-glc-220-d-premium-4matic-auto-diesel-grey-79c1f8c3-9df0-4739-b4a4-b8cb1e381c0d
7914587c-54f0-46ff-99ea-891cb24a6579,DS Automobiles,DS 7 Crossback,2020,23349,299.0,Electric/Gasoline,78293,suv,Automatic,NL,https://www.autoscout24.com/offers/ds-automobiles-ds-7-crossback-1-6-e-tense-hybrid-grand-chic-4x4-electric-gasoline-blue-7914587c-54f0-46ff-99ea-891cb24a6579
7d3c1ade-de67-4783-8ca8-f5b46e2d4cbf,Audi,RS6,2020,99999,600.0,Gasoline,83215,suv,Automatic,NL,https://www.autoscout24.com/offers/audi-rs6-avant-rs-6-tfsi-quattro-pano-milltek-b-o-hud-sfeer-gasoline-black-7d3c1ade-de67-4783-8ca8-f5b46e2d4cbf
e8fffcb0-5255-4f1b-a576-6e57df930a07,Renault,ZOE,2020,9490,109.0,Electric,52300,suv,Automatic,DE,https://www.autoscout24.com/offers/renault-zoe-zoe-ohne-batterie-z-e-40-life-sitzheizung-4-wr-electric-white-e8fffcb0-5255-4f1b-a576-6e57df930a07
8ff9f7ed-303d-4c85-aec1-11a1a40a6f40,Mercedes-Benz,GLC 220,2020,32900,194.0,Diesel,195000,suv,Automatic,IT,https://www.autoscout24.com/offers/mercedes-benz-glc-220-d-coupe-premium-plus-4matic-pedane-tetto-r20-diesel-grey-8ff9f7ed-303d-4c85-aec1-11a1a40a6f40
1e6d6d3c-e35b-4cc9-b73e-41c513f8f6ae,Porsche,991,2020,219911,521.0,Gasoline,2995,suv,Automatic,DE,https://www.autoscout24.com/offers/porsche-991-911-gt3-rs-clubsportpaket-liftsystem-va-gasoline-silver-1e6d6d3c-e35b-4cc9-b73e-41c513f8f6ae
5d36a96f-c42a-4561-a58d-6bbdaa02a6cb,Mercedes-Benz,GLB 200,2020,25790,150.0,Diesel,110732,suv,Automatic,DE,https://www.autoscout24.com/offers/mercedes-benz-glb-200-glb-200-d-style-aut-tempo-pdc-shz-sitzbelueftung-diesel-black-5d36a96f-c42a-4561-a58d-6bbdaa02a6cb
64e85d6e-7087-4ed1-94a2-1641dcd5985f,Audi,e-tron,2020,20845,313.0,Electric,90471,suv,Automatic,NL,https://www.autoscout24.com/offers/audi-e-tron-50-quattro-edition-71-kwh-carplay-navi-cruise-electric-blue-64e85d6e-7087-4ed1-94a2-1641dcd5985f
03b20b5f-3a5f-4b26-b1b0-856804aafb77,Mazda,3,2020,17950,122.0,Gasoline,38000,suv,Manual,BE,https://www.autoscout24.com/offers/mazda-3-3-skyactive-38-000-km-gasoline-blue-03b20b5f-3a5f-4b26-b1b0-856804aafb77
f64abddb-a4df-4436-a9aa-85ee2d4fa141,Volkswagen,Tiguan,2020,23990,150.0,Gasoline,92800,suv,Automatic,AT,https://www.autoscout24.com/offers/volkswagen-tiguan-sky-tsi-act-opf-dsg-gasoline-black-f64abddb-a4df-4436-a9aa-85ee2d4fa141
13a504c2-8e10-48ab-b20e-e2684d172316,Volkswagen,T-Roc,2020,20500,150.0,Gasoline,47500,suv,Semi-automatic,IT,https://www.autoscout24.com/offers/volkswagen-t-roc-t-roc-1-5-tsi-advanced-dsg-gasoline-blue-13a504c2-8e10-48ab-b20e-e2684d172316
a79d42f3-fd13-457e-8d28-63c06da7a7cc,Suzuki,Across,2020,26490,185.0,Electric/Gasoline,79884,suv,Automatic,DE,https://www.autoscout24.com/offers/suzuki-across-2-5-plug-in-hybrid-comfort-4x4-electric-gasoline-grey-a79d42f3-fd13-457e-8d28-63c06da7a7cc
1a9b4248-17a7-470f-ae34-d4f7663bb92d,SEAT,Arona,2020,14750,116.0,Gasoline,98850,suv,Manual,DE,https://www.autoscout24.com/offers/seat-arona-1-0-tsi-fr-18zoll-kamera-navi-led-gasoline-white-1a9b4248-17a7-470f-ae34-d4f7663bb92d
96e6d6ed-7939-4a85-8e7e-c725a5168a38,Peugeot,308,2020,12500,131.0,Gasoline,55000,suv,Manual,IT,https://www.autoscout24.com/offers/peugeot-308-308-puretech-turbo-130-s-s-gt-line-gasoline-blue-96e6d6ed-7939-4a85-8e7e-c725a5168a38
03a957a3-8292-4af3-bb96-930ddbe62de3,Citroen,Berlingo,2020,18950,110.0,Gasoline,101526,suv,Manual,NL,https://www.autoscout24.com/offers/citroen-berlingo-1-2-puretech-110pk-s-amp-s-xl-live-gasoline-grey-03a957a3-8292-4af3-bb96-930ddbe62de3
f33a9cf1-20aa-4111-b8b1-9910f49a8e8a,BMW,540,2020,39880,340.0,Gasoline,78618,suv,Automatic,DE,https://www.autoscout24.com/offers/bmw-540-540-i-xdrive-m-sport-shadow-hud-360grad-standhz-gasoline-black-f33a9cf1-20aa-4111-b8b1-9910f49a8e8a
ec60cff5-0ae0-4f59-b3a9-bab376bbed3a,Volkswagen,Polo,2020,15450,95.0,Gasoline,40925,suv,Automatic,IT,https://www.autoscout24.com/offers/volkswagen-polo-1-0-tsi-dsg-5p-comfortline-bluemotion-technology-gasoline-grey-ec60cff5-0ae0-4f59-b3a9-bab376bbed3a
fab22039-6ae0-4dd2-b379-14fb45b06453,Audi,A6,2020,26640,163.0,Diesel,84882,suv,Automatic,DE,https://www.autoscout24.com/offers/audi-a6-35-tdi-mild-hybrid-sport-aut-navi-hud-led-diesel-beige-fab22039-6ae0-4dd2-b379-14fb45b06453
7afc593a-a1bb-4ad9-b177-aa29c0201dde,Mercedes-Benz,A 200,2020,25390,163.0,Gasoline,79770,suv,Automatic,AT,https://www.autoscout24.com/offers/mercedes-benz-a-200-a-200-amg-line-gasoline-grey-7afc593a-a1bb-4ad9-b177-aa29c0201dde
