id,brand,model,year,price,currency,hp,fuel_type,mileage,body_type,transmission,color,city,country,url
39499853,Audi,A4,2020,2790000,TRY,,Gasoline,98000,,Otomatik,Gri,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-45-tfsi-quattro-advanced/2020-audi-a4-45-tfsi-quattro-advanced-98-000-kmde-full/39499853
39499477,Audi,A6,2020,4550000,TRY,,Diesel,70000,,Yarı Otomatik,Siyah,Isparta,TR,https://www.arabam.com/ilan/galeriden-satilik-audi-a6-sedan-40-tdi-quattro-design/boyasiz-2020-audi-a6-40-tdi-quattro-desing-70-000-km-de/39499477
39218705,Audi,A4,2020,2670000,TRY,,Diesel,149000,,Otomatik,Siyah,Konya,TR,https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-40-tdi-advanced/lexauto-2020-audi-a4-40tdi-advance-hatasiz-cift-navigasyon/39218705
39499460,Audi,A4,2020,2600000,TRY,,Diesel,150000,,Otomatik,Siyah,Mardin,TR,https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-40-tdi-advanced/celikler-den-2020-model-audi-a4-hatasiz/39499460
39499386,Audi,A3,2020,1890000,TRY,,Gasoline,61000,,Yarı Otomatik,Beyaz,Bursa,TR,https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sportback-35-tfsi-dynamic/hatasiz-boyasiz-degisensiz-audi-a3-sportback-35-tfsi-dynamic/39499386
39499375,Audi,A3,2020,1849500,TRY,,Gasoline,35338,,Yarı Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sportback-35-tfsi-dynamic/avek-otomotivden-dusuk-km-audi-a3/39499375
37665619,Audi,A4,2020,2475000,TRY,,Diesel,144000,,Otomatik,Beyaz,Gaziantep,TR,https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-40-tdi-quattro-advanced/2020-a4-40tdi-quattro-sunroof-isitma-gerigorus-kredi-imkani/37665619
39499373,Audi,A3,2020,1540000,TRY,,Gasoline,143000,,Yarı Otomatik,Siyah,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sportback-35-tfsi-dynamic/enk-2020-a3-35tfsi-sunroof-3kol-bakimli-masrafsiz-kart-kredi/39499373
39499271,Audi,A3,2020,1675000,TRY,,Gasoline,166000,,Yarı Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sedan-35-tfsi-dynamic/2020-audi-a3-sedan-35-tfsi-dynamic-s-tronic-cam-tavan/39499271
38639328,Audi,A3,2020,1730000,TRY,,Gasoline,135000,,Yarı Otomatik,Siyah,Ankara,TR,https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sedan-35-tfsi-dynamic/esr-motors-hatasiz-degisensiz-a3-35-tfsi-cam-tavan-keyless/38639328
35523312,Audi,A4,2020,2949000,TRY,,Diesel,61000,,Otomatik,Siyah,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-40-tdi-advanced/4-vade-orani-40-pesin-107-639tl-x-48-ay-senetle-hemen-teslim/35523312
39039261,Audi,A3,2020,1729000,TRY,,Gasoline,115000,,Yarı Otomatik,Lacivert,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sedan-35-tfsi-dynamic/audi-a3-35-tfsi-cam-tavan-2020-model/39039261
38639311,Audi,A3,2020,1630000,TRY,,Gasoline,82000,,Yarı Otomatik,Lacivert,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sportback-35-tfsi-sport/2020-a3-full-full-cam-tavan-lansman-rengi-ozel-siparis-orjnal-km/38639311
39499269,Audi,A3,2020,1670000,TRY,,Gasoline,164000,,Yarı Otomatik,Gri,Konya,TR,https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sedan-35-tfsi-dynamic/kredi-kartina-2-ay-oteleme-4-taksit-komisyonsuz/39499269
38639620,Audi,A4,2020,3075000,TRY,,Diesel,148000,,Otomatik,Beyaz,Gaziantep,TR,https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-40-tdi-quattro-advanced/metin-auto-audi-a4-quattro-advance-hatasiz-taba/38639620
39484065,Audi,A4,2020,2890000,TRY,,Diesel,94000,,Otomatik,Siyah,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-40-tdi-advanced/zaza-motors-audi-a4-full-bakimli-siyah-ici-bej-40tdi/39484065
38794466,Audi,A4,2020,2690000,TRY,,Diesel,149000,,Otomatik,Siyah,Şanlıurfa,TR,https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-40-tdi-advanced/2020-model-audi-a4-40-tdi-advenc-149-000-km-hatasiz-boyasiz/38794466
39464872,Audi,A3,2020,2039000,TRY,,Gasoline,62500,,Yarı Otomatik,Beyaz,Malatya,TR,https://www.arabam.com/ilan/sahibinden-satilik-audi-a3-sedan-35-tfsi-design/sahibinden-audi-a3-sedan-35-tfsi-design-2020-model/39464872
37276216,Audi,A4,2020,2650000,TRY,,Diesel,195000,,Yarı Otomatik,Beyaz,Diyarbakır,TR,https://www.arabam.com/ilan/sahibinden-satilik-audi-a4-sedan-40-tdi-quattro-advanced/2020-a4-quatroo-temiz/37276216
39473004,Audi,A3,2020,2630000,TRY,,Gasoline,106000,,Yarı Otomatik,Kırmızı,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-audi-a3-cabrio-35-tfsi-design/kredi-kartina-12-taksit-sirketlere-tamamina-kredi-imkani-cabrio/39473004
