id,brand,model,year,price,currency,hp,fuel_type,mileage,body_type,transmission,color,city,country,url
39257648,Fiat,Egea,2024,875000,TRY,,,72100,,Düz,Füme,İzmir,TR,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-4-fire-easy/hatasiz-boyasiz-ilk-elden/39257648
38984780,Fiat,Egea,2024,989950,TRY,,,37000,,Düz,Beyaz,Antalya,TR,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-4-fire-easy/2024-boyasiz-lpgli-egea-easy-gsr-serit-takip-37-000-km/38984780
39042285,Fiat,Egea,2024,1310000,TRY,,,70000,,Otomatik,Füme,Osmaniye,TR,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-6-multijet-urban/2024-boyasiz-1-6-urban-plus-gsr-2-otomatik-ilk-sahibinden-20-fatura-full/39042285
38985642,Fiat,Egea,2024,979000,TRY,,,35000,,Düz,Füme,Düzce,TR,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-4-fire-easy-plus/gba-motors-tan-2024-model-egea-1-4-fire-easy-plus-hatasiz/38985642
38145868,Fiat,Egea,2024,948750,TRY,,,30000,,Düz,Beyaz,Kahramanmaraş,TR,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-4-fire-easy/oguz-dan-hatasiz-boyasiz-degisensiz-tramersiz-dusuk-km-gsrli/38145868
39495998,Fiat,Egea,2024,1275000,TRY,,,43500,,Yarı Otomatik,Beyaz,Elazığ,TR,https://www.arabam.com/ilan/sahibinden-satilik-fiat-egea-1-6-multijet-easy/sahibinden-fiat-egea-1-6-multijet-easy-2024-model-elazig/39495998
39501229,Fiat,Egea,2024,900000,TRY,,,81000,,Düz,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-4-fire-easy-plus/2023-easy-plus-81-000km-degisensiz-tramersiz-20-kdv-36-ay-tkst/39501229
39501166,Fiat,Egea,2024,900000,TRY,,,44000,,Düz,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-4-fire-easy/2024-fiat-egea-44-bin-km-trammersiz-hatasiz-boyasiz-degisensiz/39501166
39500881,Fiat,Egea,2024,1100000,TRY,,,24000,,Düz,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-3-multijet-easy/2024-boyasiz-tramersiz-24-000-km-egea-1-3-multijet-servis-bakiml/39500881
39500579,Fiat,Egea,2024,1018000,TRY,,,18000,,Düz,Beyaz,Kahramanmaraş,TR,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-4-fire-urban/oguz-dan-hatasiz-boyasiz-degisensiz-gsrli-dusuk-km-urban-egea/39500579
39500408,Fiat,Egea,2024,1130000,TRY,,,30178,,Düz,Beyaz,Kayseri,TR,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-3-multijet-easy/20-tam-fatura-2024-fiat-egea-1-3-m-jet-easy-95-hp-e6d/39500408
39498771,Fiat,Egea,2024,1050000,TRY,,,19000,,Düz,Beyaz,Bingöl,TR,https://www.arabam.com/ilan/sahibinden-satilik-fiat-egea-1-4-fire-easy/ogretmenden-1-4-gsr-paket-egea-garantili/39498771
38635177,Fiat,Egea,2024,975000,TRY,,,21000,,Düz,Beyaz,Kütahya,TR,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-4-fire-easy-plus/kusursuz-fiat-egea-1-4-easy-plus-21-000-km-boyasiz/38635177
38407156,Fiat,Egea,2024,1060000,TRY,,,61645,,Düz,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-3-multijet-easy/2024-my-fiat-egea-1-3-easy-hatasiz-boyasiz-bakimli-61-645-km/38407156
39499130,Fiat,Egea,2024,1010000,TRY,,,27800,,Düz,Beyaz,Ankara,TR,https://www.arabam.com/ilan/sahibinden-satilik-fiat-egea-1-4-fire-easy-plus/sahibinden-fiat-egea-1-4-fire-easy-plus-2024-model/39499130
38623745,Fiat,Egea,2024,1040000,TRY,,,82900,,Düz,Beyaz,Mersin,TR,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-3-multijet-easy/galeriden-fiat-egea-1-3-multijet-easy-2024-model-mersin/38623745
39063498,Fiat,Egea,2024,1015000,TRY,,,14500,,Düz,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-4-fire-urban/sava-cars-2024-fiat-egea-1-4-fire-urban-sifirdan-farksiz/39063498
38121607,Fiat,Egea,2024,1315000,TRY,,,54000,,Otomatik,Beyaz,Ankara,TR,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-6-multijet-urban/hatasiz-boyasiz-tramersiz-garantili-urban-20-kdv-li-fatura/38121607
38673978,Fiat,Egea,2024,865000,TRY,,,63000,,Düz,Füme,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-4-fire-urban/irfan-autopia2024gsr2urbansert-tkpgeri-grscapsma-onlyc/38673978
38091821,Fiat,Egea,2024,1199999,TRY,,,28000,,Düz,Beyaz,Mardin,TR,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-4-fire-urban/2024-egea-cross-1-4-fire-urban-guvenlik-paket-sifirdan-farksiz/38091821
