id,brand,model,year,price,currency,hp,fuel_type,mileage,body_type,transmission,color,city,country,url
39040591,Ford,Focus,2020,1265000,TRY,,Diesel,128000,,Otomatik,Füme,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-ford-focus-1-5-tdci-trend-x/ford-focus-1-5-tdci-trend-x-2020-model-128-000-km-fume/39040591
38803426,Ford,Focus,2020,1290000,TRY,,,145000,,Otomatik,Kırmızı,Samsun,TR,https://www.arabam.com/ilan/galeriden-satilik-ford-focus-1-5-ecoblue-trend-x/terme-aykar-otmtk-st-jant-ekran-htsz1-5-ecoblue-145-000-km/38803426
39462991,Ford,Focus,2020,1310000,TRY,,Diesel,135900,,Otomatik,Mavi,Adana,TR,https://www.arabam.com/ilan/sahibinden-satilik-ford-focus-1-5-tdci-trend-x/sahibinden-ford-focus-1-5-tdci-trend-x-2020-model/39462991
37221280,Ford,Focus,2020,1239000,TRY,,Diesel,182000,,Otomatik,Beyaz,Ankara,TR,https://www.arabam.com/ilan/galeriden-satilik-ford-focus-1-5-tdci-trend-x/uscar-dan-2020-focus-1-5-trend-x-180-bin-km-hatasiz/37221280
39512001,Ford,Focus,2020,1195000,TRY,,Diesel,234000,,Otomatik,Beyaz,Adana,TR,https://www.arabam.com/ilan/galeriden-satilik-ford-focus-1-5-tdci-trend-x/galeriden-ford-focus-1-5-tdci-trend-x-2020-model-adana/39512001
39499531,Ford,Focus,2020,1400000,TRY,,Diesel,166000,,Otomatik,Lacivert,Ankara,TR,https://www.arabam.com/ilan/sahibinden-satilik-ford-focus-1-5-tdci-titanium/sahibinden-ford-focus-1-5-tdci-titanium-2020-model-ankara-166-000-km-lacivert/39499531
39506881,Ford,Focus,2020,1200000,TRY,,Diesel,83000,,Düz,Beyaz,Bursa,TR,https://www.arabam.com/ilan/sahibinden-satilik-ford-focus-1-5-tdci-trend-x/sahibinden-ford-focus-1-5-tdci-trend-x-2020-model/39506881
37517946,Ford,Focus,2020,1355500,TRY,,Diesel,165000,,Otomatik,Beyaz,Eskişehir,TR,https://www.arabam.com/ilan/galeriden-satilik-ford-focus-1-5-tdci-trend-x/galeriden-ford-focus-1-5-tdci-trend-x-2020-model-eskisehir/37517946
39515356,Ford,Focus,2020,1450000,TRY,,Diesel,69000,,Otomatik,Beyaz,Eskişehir,TR,https://www.arabam.com/ilan/sahibinden-satilik-ford-focus-1-5-tdci-titanium/sahibinden-ford-focus-1-5-tdci-titanium-2020-model/39515356
39501091,Ford,Fiesta,2020,1120000,TRY,,,74000,,Otomatik,Beyaz,Niğde,TR,https://www.arabam.com/ilan/galeriden-satilik-ford-fiesta-1-0-style/kayalardan-ford-fiesta-1-0-eco-boost-style-boyasiz/39501091
31756673,Ford,Focus,2020,1400000,TRY,,Diesel,167000,,Otomatik,Beyaz,Mersin,TR,https://www.arabam.com/ilan/galeriden-satilik-ford-focus-1-5-tdci-trend-x/serhadli-dan-2o2o-ford-focus-trendx/31756673
39500438,Ford,Focus,2020,1280000,TRY,,,184000,,Otomatik,Gri,Diyarbakır,TR,https://www.arabam.com/ilan/galeriden-satilik-ford-focus-1-5-ecoblue-titanium/2020-model-ford-focus-titanyum/39500438
39488263,Ford,Focus,2020,1158500,TRY,,Diesel,192000,,Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/sahibinden-satilik-ford-focus-1-5-tdci-trend-x/sahibinden-ford-focus-1-5-tdci-trend-x-2020-model-192-000-km-beyaz/39488263
39500435,Ford,Focus,2020,1415000,TRY,,,138700,,Otomatik,Mavi,Ankara,TR,https://www.arabam.com/ilan/galeriden-satilik-ford-focus-1-5-ecoblue-titanium/2020-model-ilk-elden-hatasiz-boyasiz-servis-bakimli-emsalsiz/39500435
39044721,Ford,Focus,2020,1430000,TRY,,,115000,,Otomatik,Mavi,Aksaray,TR,https://www.arabam.com/ilan/galeriden-satilik-ford-focus-1-5-ecoblue-titanium/2020-model-dizel-otomatik-ozel-renk-mavi-115-000km/39044721
39297491,Ford,Focus,2020,1235000,TRY,,Diesel,190000,,Otomatik,Mavi,Ankara,TR,https://www.arabam.com/ilan/galeriden-satilik-ford-focus-1-5-tdci-titanium/gcl-den-boyasiz-degisensiz-tramersiz-titanium-ozel-renk-12-tkst/39297491
35722022,Ford,Focus,2020,1270000,TRY,,,185500,,Otomatik,Mavi,Hatay,TR,https://www.arabam.com/ilan/galeriden-satilik-ford-focus-1-5-ecoblue-trend-x/gundem-den-boyasiz-2020-model-ford-focus-1-5-ecoblue-trend-x/35722022
34467494,Ford,Focus,2020,1350000,TRY,,Diesel,186000,,Otomatik,Kahverengi,Van,TR,https://www.arabam.com/ilan/galeriden-satilik-ford-focus-1-5-tdci-titanium/kayakale-den-2020-focus-titanyum-otomatik-full-paket/34467494
38633635,Ford,Focus,2020,915000,TRY,,Diesel,194500,,Otomatik,Beyaz,Kilis,TR,https://www.arabam.com/ilan/galeriden-satilik-ford-focus-1-5-tdci-trend-x/simsek-auto-dan-2020-ford-focus-1-5-dizel-otomatik/38633635
38633639,Ford,Focus,2020,1119750,TRY,,Diesel,166000,,Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-ford-focus-1-5-tdci-trend-x/tan-car-s-dn-2020-model-ford-focus-dizel-otomatik-120hp/38633639
