id,brand,model,year,price,currency,hp,fuel_type,mileage,body_type,transmission,color,city,country,url
37773075,Hyundai,i20,2017,1050000,TRY,,,130000,,Otomatik,Beyaz,Ankara,TR,https://www.arabam.com/ilan/galeriden-satilik-hyundai-i20-1-4-mpi-style/class-71-den-style-cam-tavan-i20/37773075
38464822,Hyundai,Accent Blue,2017,889000,TRY,,Diesel,176000,,Düz,Beyaz,Denizli,TR,https://www.arabam.com/ilan/galeriden-satilik-hyundai-accent-blue-1-4-d-cvvt-mode-plus/hatasiz-2017-hyundai-accent-blue/38464822
38032051,Hyundai,i20,2017,798000,TRY,,,44000,,Düz,Beyaz,Ankara,TR,https://www.arabam.com/ilan/galeriden-satilik-hyundai-i20-1-2-mpi-jump/sadece-44-km-de-i20/38032051
39386787,Hyundai,Accent Blue,2017,849000,TRY,,Diesel,220000,,Düz,Beyaz,Gaziantep,TR,https://www.arabam.com/ilan/galeriden-satilik-hyundai-accent-blue-1-6-crdi-mode-plus/eminoglu-2017-hatasiz-boyasiz-accent-blue-mode-plus-1-6crdi-6-ileri/39386787
38949468,Hyundai,i20,2017,1140000,TRY,,,140000,,Otomatik,Kırmızı,Ankara,TR,https://www.arabam.com/ilan/sahibinden-satilik-hyundai-i20-1-4-mpi-style/sahibinden-hyundai-i20-1-4-mpi-style-2017-model-ankara/38949468
39506187,Hyundai,i20,2017,890000,TRY,,,145000,,Otomatik,Beyaz,Şırnak,TR,https://www.arabam.com/ilan/sahibinden-satilik-hyundai-i20-1-4-mpi-jump/sahibinden-hyundai-i20-1-4-mpi-jump-2017-model/39506187
35292411,Hyundai,Accent Blue,2017,800000,TRY,,Diesel,130000,,Otomatik,Mavi (metalik),İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-hyundai-accent-blue-1-4-d-cvvt-mode-plus/2017-hyundai-accent-blue-1-4-d-cvvt-mode-plus-cvt-130-000-km-20-faturali/35292411
39503366,Hyundai,i30,2017,945000,TRY,,,88900,,Düz,Beyaz,Kütahya,TR,https://www.arabam.com/ilan/galeriden-satilik-hyundai-i30-1-4-mpi-style/2017-hyundai-i30-1-4-mpi-style-88000-km-hatasiz/39503366
36696843,Hyundai,i30,2017,960000,TRY,,,104400,,Düz,Beyaz,Kocaeli,TR,https://www.arabam.com/ilan/galeriden-satilik-hyundai-i30-1-4-mpi-style/kredi-k-karti-eminvm-fuzlv-2017-hyundai-i-30-style-boyasiz-99-km/36696843
39503004,Hyundai,Accent Blue,2017,900000,TRY,,Diesel,203000,,Yarı Otomatik,Beyaz,Şanlıurfa,TR,https://www.arabam.com/ilan/sahibinden-satilik-hyundai-accent-blue-1-6-crdi-mode/sahibinden-hyundai-accent-blue-1-6-crdi-mode-2017-model-200-000-km-beyaz/39503004
39503224,Hyundai,Accent Blue,2017,899000,TRY,,Diesel,126000,,Yarı Otomatik,Beyaz,Ankara,TR,https://www.arabam.com/ilan/galeriden-satilik-hyundai-accent-blue-1-6-crdi-mode-plus/mina-auto-2017-mode-plus-otomatik-126-000-km-degisensiz/39503224
39502528,Hyundai,i30,2017,1390000,TRY,,Diesel,100000,,Yarı Otomatik,Gri,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-hyundai-i30-1-6-crdi-elite-plus/2017-elite-plus-smart-cam-tvn-gri-grs-kpls-srj-keyless-tblt-ekrn/39502528
39502526,Hyundai,i30,2017,1275000,TRY,,Diesel,94000,,Yarı Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-hyundai-i30-1-6-crdi-elite-plus/2018-cikisli-elit-plus-smart-94-000-km-servis-bakimli-yeni-logo/39502526
39502431,Hyundai,i20,2017,1125000,TRY,,,129000,,Otomatik,Beyaz,Balıkesir,TR,https://www.arabam.com/ilan/galeriden-satilik-hyundai-i20-1-4-mpi-style/emre-otodan-full-paket-i20/39502431
39502359,Hyundai,i20,2017,865000,TRY,,,48000,,Düz,Beyaz,Manisa,TR,https://www.arabam.com/ilan/galeriden-satilik-hyundai-i20-1-2-mpi-jump/nass-otomotiv-den-hatasiz-i20/39502359
36697791,Hyundai,Elantra,2017,1260000,TRY,,Diesel,126000,,Yarı Otomatik,Beyaz,Tokat,TR,https://www.arabam.com/ilan/galeriden-satilik-hyundai-elantra-1-6-crdi-style-plus/2017-hyundai-elantra-1-6-crdi-style-plus-126-bin-kmde-otomatik/36697791
39501571,Hyundai,i20,2017,989000,TRY,,,90000,,Otomatik,Beyaz,Mersin,TR,https://www.arabam.com/ilan/galeriden-satilik-hyundai-i20-1-4-mpi-elite-smart/2017-hyundai-i20-1-4-mpi-elite-smart-otomatik-90-000-km-bakimli/39501571
39501467,Hyundai,i20,2017,787500,TRY,,Diesel,175000,,Düz,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-hyundai-i20-1-4-crdi-style/2017-model-style-1-4-crdi-90-bg/39501467
39483864,Hyundai,Elantra,2017,1260000,TRY,,Diesel,112000,,Yarı Otomatik,Beyaz,Batman,TR,https://www.arabam.com/ilan/sahibinden-satilik-hyundai-elantra-1-6-crdi-elite/sahibinden-hyundai-elantra-1-6-crdi-elite-2017-model/39483864
39075514,Hyundai,i30,2017,1375000,TRY,,Diesel,135000,,Yarı Otomatik,Mavi,Samsun,TR,https://www.arabam.com/ilan/galeriden-satilik-hyundai-i30-1-6-crdi-elite-plus/2017-1-6-crdi-otomatik-elite-plus-hyundai-i30-k-kartina-taksit/39075514
