id,brand,model,year,price,currency,hp,fuel_type,mileage,body_type,transmission,color,city,country,url
38271735,Kia,Cerato,2017,1025000,TRY,,Diesel,212000,,Yarı Otomatik,Beyaz,Düzce,TR,https://www.arabam.com/ilan/galeriden-satilik-kia-cerato-1-6-crdi-concept-plus/ozkan-otomotivden-2017-dizel-otomatik/38271735
39486110,Kia,Rio,2017,830000,TRY,,Diesel,150000,,Düz,Gri (Gümüş),Bursa,TR,https://www.arabam.com/ilan/sahibinden-satilik-kia-rio-1-4-crdi-comfort/sahibinden-kia-rio-1-4-crdi-comfort-2017-model/39486110
38410229,Kia,Cerato,2017,1215000,TRY,,Diesel,146000,,Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-kia-cerato-1-6-crdi-concept-plus/encar-dan-2017-kia-cerato-140-bin-km-sunroof-full/38410229
38329431,Kia,Cerato,2017,899900,TRY,,Diesel,200000,,Yarı Otomatik,Bordo,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-kia-cerato-1-6-crdi-concept-plus/rol-den-sanruflu-ozel-renk-dizel-otomatik-cereto/38329431
39474578,Kia,Cerato,2017,959000,TRY,,Diesel,196000,,Yarı Otomatik,Gri,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-kia-cerato-1-6-crdi-concept/hsn-motors-2017-kia-cerato-1-6crdi-otomatik-karta-taksit/39474578
39454162,Kia,Ceed,2017,1180000,TRY,,Diesel,155090,,Otomatik,Beyaz,Mersin,TR,https://www.arabam.com/ilan/sahibinden-satilik-kia-ceed-1-6-crdi-premium-sw/sahibinden-kia-ceed-1-6-crdi-premium-sw-2017-model/39454162
39474168,Kia,Ceed,2017,915000,TRY,,Diesel,182000,,Yarı Otomatik,Beyaz,Tekirdağ,TR,https://www.arabam.com/ilan/galeriden-satilik-kia-ceed-1-6-crdi-concept-plus/hzr-notors-2017-kia-ceed-1-6-crdi-concept-plus-cam-tavan/39474168
39474169,Kia,Ceed,2017,679000,TRY,,Diesel,213000,,Düz,Beyaz,Batman,TR,https://www.arabam.com/ilan/galeriden-satilik-kia-ceed-1-6-crdi-comfort/2017-model-manuel-yeni-kasa/39474169
38987378,Kia,Cerato,2017,950000,TRY,,Diesel,156000,,Yarı Otomatik,Beyaz,Bursa,TR,https://www.arabam.com/ilan/galeriden-satilik-kia-cerato-1-6-crdi-concept-plus/2017-kia-cerato-1-6-dizel-otomatik-156-000-km/38987378
38581868,Kia,Cerato,2017,895000,TRY,,Diesel,190000,,Yarı Otomatik,Gri,Gaziantep,TR,https://www.arabam.com/ilan/galeriden-satilik-kia-cerato-1-6-crdi-concept/2017-cerato-1-6-crdi-concept-190-bin-de-boyasiz-ayarinda/38581868
39046227,Kia,Cerato,2017,995000,TRY,,Diesel,196000,,Otomatik,Beyaz,Ankara,TR,https://www.arabam.com/ilan/galeriden-satilik-kia-cerato-1-6-crdi-concept-techno/hatasiz-boyasiztramersiz-2017model-experli-taksit-kart-secenegi/39046227
37098213,Kia,Rio,2017,615000,TRY,,Diesel,210000,,Düz,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-kia-rio-1-4-crdi-comfort/galeri-kral-2017-kia-rio-emsalsiz/37098213
38987402,Kia,Cerato,2017,1165000,TRY,,Diesel,158000,,Yarı Otomatik,Siyah,İzmir,TR,https://www.arabam.com/ilan/galeriden-satilik-kia-cerato-1-6-crdi-concept-plus/2017-kia-cerato-1-6-crdi-sunroof-k-isitma-k-ayna-navigasyn/38987402
39439068,Kia,Rio,2017,1115000,TRY,,,25000,,Otomatik,Beyaz,Aksaray,TR,https://www.arabam.com/ilan/galeriden-satilik-kia-rio-1-4-cvvt-concept/2017-kia-rio-25-000km-hatasiz-otomatik-katl-ayn-servsbakml-beyaz/39439068
39430096,Kia,Ceed,2017,1335000,TRY,,Diesel,110000,,Yarı Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/sahibinden-satilik-kia-ceed-1-6-crdi-concept-plus/sahibinden-kia-ceed-1-6-crdi-concept-plus-2017-model/39430096
39437968,Kia,Cerato,2017,1035000,TRY,,Diesel,165000,,Yarı Otomatik,Siyah,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-kia-cerato-1-6-crdi-concept-plus/2017-kia-tramersiz-sunroof-bakimli-300bintl-pesinat-24-vade-kart/39437968
39437963,Kia,Cerato,2017,1059500,TRY,,Diesel,181000,,Yarı Otomatik,Siyah,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-kia-cerato-1-6-crdi-concept-plus/koc-aslan-motors-dan-sunroof-koltuk-isitma-geri-gorus-k-ayna/39437963
36993984,Kia,Rio,2017,1035000,TRY,,,86500,,Otomatik,Kırmızı,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-kia-rio-1-4-cvvt-concept/galeriden-kia-rio-1-4-cvvt-concept-2017-model-istanbul/36993984
37301393,Kia,Rio,2017,850000,TRY,,,125000,,Düz,Lacivert,Sakarya,TR,https://www.arabam.com/ilan/sahibinden-satilik-kia-rio-1-25-cvvt-concept/sahibinden-kia-rio-1-25-cvvt-concept-2017-model-125000-km-lacivert/37301393
39409431,Kia,Ceed,2017,966900,TRY,,,55178,,Düz,Siyah,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-kia-ceed-1-4-mpi-live/nursan-meraklisina-hatasiz-2017-kia-ceed-1-4live-manuel/39409431
