id,brand,model,year,price,currency,hp,fuel_type,mileage,body_type,transmission,color,city,country,url
38289711,Land Rover,Freelander,2008,1220000,TRY,,,130000,,Otomatik,Siyah,Isparta,TR,https://www.arabam.com/ilan/galeriden-satilik-land-rover-freelander-2-2-td4-gs/2008-freelander2-130-000-km-sifir-kondisyon/38289711
39258065,Land Rover,Range Rover,1997,550000,TRY,,,336000,,Otomatik,Mavi,Antalya,TR,https://www.arabam.com/ilan/galeriden-satilik-land-rover-range-4-6-hse/bu-fiyata-yok-masrafsiz-range-rover-kaciran-uzulur/39258065
34829554,Land Rover,Range Rover,2007,1500000,TRY,,,305000,,Otomatik,Siyah,Kastamonu,TR,https://www.arabam.com/ilan/galeriden-satilik-land-rover-range-3-6-tdv8-vogue/2007-r-r-3-6-tdv8-vogue-hatasiz-emsalsiz-bayi/34829554
37715071,Land Rover,Freelander,2004,450000,TRY,,,395000,,Otomatik,Bordo,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-land-rover-freelander-2-0-td4-hse/ekeler-den-kredi-kartina-12-ay-taksit-freelander-2-0td-4x4/37715071
38792148,Land Rover,Range Rover Velar,2017,3665000,TRY,,,169000,,Otomatik,Beyaz,İzmir,TR,https://www.arabam.com/ilan/galeriden-satilik-land-rover-range-velar-2-0-td4-r-dynamic-hse/ozer-garage-den-2017-r-r-velar-r-dynamic-hse-240hp-hatasiz-bayii/38792148
37282794,Land Rover,Range Rover,2014,7750000,TRY,,,146000,,Otomatik,Siyah,Bursa,TR,https://www.arabam.com/ilan/galeriden-satilik-land-rover-range-3-0-tdv6-autobiography/toys-for-boys-range-rover-3-0tdv6-autobiography-business-2014/37282794
39102839,Land Rover,Range Rover,2005,1625000,TRY,,,136176,,Otomatik,Siyah,İzmir,TR,https://www.arabam.com/ilan/galeriden-satilik-land-rover-range-4-6-vogue/2005-land-rover-range-rover-4-4-v8-vouge-orjinal-136-176km/39102839
39501434,Land Rover,Freelander,2010,1135000,TRY,,,167000,,Otomatik,Beyaz,Kütahya,TR,https://www.arabam.com/ilan/galeriden-satilik-land-rover-freelander-2-2-td4-hse/land-rover-nadir-kalanlardan-sadece-167-km-orijinal/39501434
35900552,Land Rover,Defender,2023,5100000,TRY,,Diesel,15000,,Otomatik,Füme,Bursa,TR,https://www.arabam.com/ilan/galeriden-satilik-land-rover-defender-90-3-0-d/oner-den-2023-defender-3-0d-22-jant-led-far-hatasiz/35900552
39517253,Land Rover,Freelander,2004,595000,TRY,,,270000,,Düz,Gri,Kütahya,TR,https://www.arabam.com/ilan/galeriden-satilik-land-rover-freelander-2-0-td4-hse/2004-hatasiz-land-freelander-2-0-td4/39517253
39517211,Land Rover,Range Rover Evoque,2016,2575000,TRY,,,85000,,Otomatik,Kahverengi,Kocaeli,TR,https://www.arabam.com/ilan/galeriden-satilik-land-rover-range-evoque-2-0-td4-hse/erginler-otomotivden-range-rover-evoque-2-0-hse/39517211
34634725,Land Rover,Range Rover,2016,5950000,TRY,,,338000,,Otomatik,Siyah,Kayseri,TR,https://www.arabam.com/ilan/galeriden-satilik-land-rover-range-3-0-tdv6-vogue/2016-range-rover-autobiyografi/34634725
39517208,Land Rover,Range Rover Evoque,2012,1750000,TRY,,,208000,,Otomatik,Beyaz,Gaziantep,TR,https://www.arabam.com/ilan/galeriden-satilik-land-rover-range-evoque-2-0-si4-dynamic/csr-motors-2012-rover-rover-evoque-2-0-si4-dynamic-meridan-240hp/39517208
35183097,Land Rover,Freelander,2003,440000,TRY,,,390000,,Otomatik,Yeşil,Ankara,TR,https://www.arabam.com/ilan/galeriden-satilik-land-rover-freelander-2-0-td4-hse/masrafsiz-2003-model-land-rover-freelander-2-0-td4/35183097
38532669,Land Rover,Range Rover Evoque,2012,1560000,TRY,,,173000,,Otomatik,Siyah,Mersin,TR,https://www.arabam.com/ilan/galeriden-satilik-land-rover-range-evoque-2-0-si4-dynamic/2012-range-rover-evoque-hatasiz-ici-bej-camtavan-full/38532669
38324108,Land Rover,Range Rover Evoque,2016,2175000,TRY,,,102000,,Otomatik,Siyah,Konya,TR,https://www.arabam.com/ilan/galeriden-satilik-land-rover-range-evoque-2-0-td4-hse-dynamic/cam-tavan-orjinal-102-000-km-degisensiz-2016-model-evoque/38324108
37689523,Land Rover,Range Rover Evoque,2021,3890000,TRY,,,55000,,Otomatik,Gri,Tokat,TR,https://www.arabam.com/ilan/galeriden-satilik-land-rover-range-evoque-1-5-r-dynamic-se/2021-model-sadece-55-000-km-hatasiz-boyasiz-evoque-ozel-renk/37689523
39517200,Land Rover,Range Rover Evoque,2015,2199000,TRY,,,93000,,Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-land-rover-range-evoque-2-0-si4-dynamic/range-rover-evoque-camtavan-isitma-meridian-93-000-km/39517200
39517178,Land Rover,Range Rover Evoque,2012,1550000,TRY,,,222947,,Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-land-rover-range-evoque-2-0-si4-dynamic/465-000tl-pesinatla-elden-senetli-range-rover-evoque/39517178
39516866,Land Rover,Range Rover Velar,2019,4449900,TRY,,,135631,,Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-land-rover-range-velar-2-0-td4-r-dynamic-se/etna-motors-hatasi-boyasiz-240hp-bayi-velar-r-dynamic-se/39516866
