id,brand,model,year,price,currency,hp,fuel_type,mileage,body_type,transmission,color,city,country,url
39503138,Mazda,3,2015,1295000,TRY,,,121000,,Otomatik,Beyaz,Eskişehir,TR,https://www.arabam.com/ilan/sahibinden-satilik-mazda-3-1-5-skyactive-g-power/sahibinden-2015-mazda-3-skyactive-g-tramersiz-degisensiz-boyasiz-dusuk-km/39503138
39510484,Mazda,3,2015,1315000,TRY,,,99000,,Otomatik,Kırmızı,Sakarya,TR,https://www.arabam.com/ilan/galeriden-satilik-mazda-3-1-5-skyactive-g-motion/mazda-3-1-5-otomatik-vites-hatasiz-boyasiz/39510484
31732640,Mazda,3,2015,1060000,TRY,,,76249,,Otomatik,Siyah,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-mazda-3-1-5-skyactive-g-power/asir-oto-dan-satilik-2015-mazda3-1-5-sky-g-power-otm/31732640
38528437,Mazda,3,2015,949950,TRY,,,210000,,Otomatik,Lacivert,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-mazda-3-1-5-skyactive-g-power/carat-auto-2015-mazda-3-skyactive-g-power-degisensiz/38528437
39343362,Mazda,3,2015,1289750,TRY,,,57000,,Otomatik,Lacivert,Eskişehir,TR,https://www.arabam.com/ilan/galeriden-satilik-mazda-3-1-5-skyactive-g-power/karamanli-garage-mazda-3-1-5-power-otomatik-boyasiz-hatasiz/39343362
39324499,Mazda,3,2015,1249000,TRY,,,169900,,Otomatik,Kırmızı,Kütahya,TR,https://www.arabam.com/ilan/sahibinden-satilik-mazda-3-1-5-skyactive-g-power/sahibinden-mazda-3-1-5-skyactive-g-power-2015-model-kutahya-169-000-km-kirmizi/39324499
39270966,Mazda,3,2015,1050000,TRY,,,175000,,Otomatik,Beyaz,Kocaeli,TR,https://www.arabam.com/ilan/sahibinden-satilik-mazda-3-1-5-skyactive-g-motion/sahibinden-mazda-3-1-5-skyactive-g-motion-2015-model/39270966
31785084,Mazda,6,2015,1850000,TRY,,,60000,,Otomatik,Siyah,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-mazda-6-2-0-sky-g-power/mahir-yuksel-den-2015-mazda-6-2-0-sport-full-orjinal/31785084
37226899,Mazda,3,2015,815000,TRY,,,220000,,Otomatik,Kırmızı,Tekirdağ,TR,https://www.arabam.com/ilan/galeriden-satilik-mazda-3-1-5-skyactive-g-power/ogdmotors-2015-model-mazda-3-1-5-skyactive-g-otomatik-120-hp/37226899
38780966,Mazda,3,2015,1179750,TRY,,,114000,,Otomatik,Gri,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-mazda-3-1-5-skyactive-g-power-sense/mazda-ozan-dan-114-binde-otomatik-2015-mazda-3-sky-g-power-sense/38780966
39204524,Mazda,3,2015,1130000,TRY,,,153000,,Otomatik,Kırmızı,Adana,TR,https://www.arabam.com/ilan/sahibinden-satilik-mazda-3-1-5-skyactive-g-reflex/memurdan-lansman-renk/39204524
39153166,Mazda,3,2015,1150000,TRY,,,97000,,Düz,Beyaz,Eskişehir,TR,https://www.arabam.com/ilan/sahibinden-satilik-mazda-3-1-5-skyactive-g-reflex/dusuk-km-aile-araci/39153166
30449556,Mazda,3,2015,1210000,TRY,,,125000,,Düz,Beyaz,Ardahan,TR,https://www.arabam.com/ilan/sahibinden-satilik-mazda-3-1-5-skyactive-g-reflex/sahibinden-mazda-3-1-5-skyactive-g-reflex-2015-model/30449556
38866213,Mazda,3,2015,1275000,TRY,,,97000,,Otomatik,Beyaz,Aydın,TR,https://www.arabam.com/ilan/sahibinden-satilik-mazda-3-1-5-skyactive-g-power-sense/sahibinden-mazda-3-1-5-skyactive-g-power-sense-2015-model-97-000-km-beyaz/38866213
36878677,Mazda,3,2015,1300000,TRY,,,55000,,Otomatik,Beyaz,Adana,TR,https://www.arabam.com/ilan/sahibinden-satilik-mazda-3-1-5-skyactive-g-power/boyasiz-power-55-binde/36878677
38522358,Mazda,6,2015,1325000,TRY,,,225000,,Otomatik,Beyaz,İzmir,TR,https://www.arabam.com/ilan/sahibinden-satilik-mazda-6-2-0-sky-g-power/sahibinden-mazda-6-2-0-sky-g-power-2015-model/38522358
38318805,Mazda,3,2015,950000,TRY,,,178000,,Düz,Kırmızı,Antalya,TR,https://www.arabam.com/ilan/sahibinden-satilik-mazda-3-1-5-skyactive-g-motion/sahibinden-mazda-3-1-5-skyactive-g-motion-2015-model/38318805
38247903,Mazda,3,2015,1080000,TRY,,,59000,,Düz,Beyaz,Antalya,TR,https://www.arabam.com/ilan/sahibinden-satilik-mazda-3-1-5-skyactive-g-motion/2015-model-mazda-3-59-000km-manuel/38247903
36052179,Mazda,3,2015,1100000,TRY,,,193000,,Otomatik,Kırmızı,Muğla,TR,https://www.arabam.com/ilan/sahibinden-satilik-mazda-3-1-5-skyactive-g-power/servis-bakimli-mazda-3-1-5-skyactive-g-power-2015-model-193-000-km-kirmizi/36052179
33613749,Mazda,3,2015,1300000,TRY,,,123000,,Otomatik,Kırmızı,Mersin,TR,https://www.arabam.com/ilan/sahibinden-satilik-mazda-3-1-5-skyactive-g-power-sense/sahibinden-mazda-3-1-5-skyactive-g-power-sense-2015-model-mersin/33613749
