id,brand,model,year,price,currency,hp,fuel_type,mileage,body_type,transmission,color,city,country,url
39355234,Mercedes - Benz,E,2015,2125000,TRY,,,178000,,Otomatik,Beyaz,Amasya,TR,https://www.arabam.com/ilan/galeriden-satilik-mercedes-benz-e-180-style/ayz-otomotiv-den-bakimli-dusuk-km-2015-mercedes-e-180-style/39355234
39485175,Mercedes - Benz,E,2015,2297500,TRY,,Diesel,220000,,Otomatik,Siyah,Manisa,TR,https://www.arabam.com/ilan/galeriden-satilik-mercedes-benz-e-250-cdi-edition/guzel-oto-dan-2015-e250-4-matic-ikinci-sahibinden/39485175
36697564,Mercedes - Benz,A,2015,1645000,TRY,,Diesel,111000,,Yarı Otomatik,Beyaz,Bolu,TR,https://www.arabam.com/ilan/galeriden-satilik-mercedes-benz-a-180-cdi-blueefficiency-amg/2015-hatasiz-boyasiz-mercedes-a180-cdi-amg-sport-111-000-km/36697564
39401549,Mercedes - Benz,A,2015,1250000,TRY,,Diesel,271000,,Yarı Otomatik,Siyah,İzmir,TR,https://www.arabam.com/ilan/galeriden-satilik-mercedes-benz-a-180-cdi-blueefficiency-amg/2015-mercedes-a180-cdi-hatasiz-boyasiz-cam-tavan-siyah-amg-full/39401549
37227915,Mercedes - Benz,C,2015,1795000,TRY,,Diesel,253000,,Otomatik,Beyaz,Kayseri,TR,https://www.arabam.com/ilan/galeriden-satilik-mercedes-benz-c-200-d-bluetec-amg/ky-acr-motors-hatasiz-imzali-seri-sifir-sandik-motor/37227915
35088781,Mercedes - Benz,E,2015,2775000,TRY,,Diesel,216000,,Otomatik,Beyaz,Ankara,TR,https://www.arabam.com/ilan/galeriden-satilik-mercedes-benz-e-250-cdi-edition/hsn-hatasiz-boyasiz-2015-mercedes-e250-4matic-edition-e-216-km/35088781
36764676,Mercedes - Benz,E,2015,1990000,TRY,,Diesel,313000,,Otomatik,Füme,Kayseri,TR,https://www.arabam.com/ilan/galeriden-satilik-mercedes-benz-e-250-cdi-edition/degisensiz-e250-4-matic/36764676
38988517,Mercedes - Benz,A,2015,1685000,TRY,,Diesel,84500,,Otomatik,Siyah,Tokat,TR,https://www.arabam.com/ilan/galeriden-satilik-mercedes-benz-a-180-d-amg/hatasiz-2015-mercedes-a180d-amg-recore-cam-tavan-84-500km/38988517
38862720,Mercedes - Benz,CLA,2015,1800000,TRY,,Diesel,149000,,Otomatik,Siyah,Giresun,TR,https://www.arabam.com/ilan/galeriden-satilik-mercedes-benz-cla-180-d-amg/2015-model-hatasiz-boyasiz-tramersiz-cla-180d-amg-isik-paket/38862720
39285140,Mercedes - Benz,E,2015,2120000,TRY,,,151000,,Otomatik,Siyah,Mersin,TR,https://www.arabam.com/ilan/galeriden-satilik-mercedes-benz-e-180-style/2015-mersedes-e-180-style-sunroof-bej-deri-eksper-raporlu/39285140
39507734,Mercedes - Benz,C,2015,1450000,TRY,,,275000,,Otomatik,Beyaz,Batman,TR,https://www.arabam.com/ilan/sahibinden-satilik-mercedes-benz-c-200-bluetec-amg/sahibinden-mercedes-benz-c-200-bluetec-amg-2015-model-275-000-km-beyaz/39507734
38956350,Mercedes - Benz,C,2015,1799750,TRY,,Diesel,150000,,Otomatik,Beyaz,Sakarya,TR,https://www.arabam.com/ilan/galeriden-satilik-mercedes-benz-c-200-d-amg/turkaydin-dan-firsat-amg-cam-tavan-1-milyon-kredi-imkani/38956350
39503815,Mercedes - Benz,E,2015,1724000,TRY,,,209000,,Otomatik,Kahverengi,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-mercedes-benz-e-250-editione/2016-cikis-degisensiz-e250-edition-e-lansman-renk-dusuk-km/39503815
39044833,Mercedes - Benz,CLA,2015,1975000,TRY,,,130000,,Otomatik,Beyaz,Tokat,TR,https://www.arabam.com/ilan/galeriden-satilik-mercedes-benz-cla-200-amg/hatasiz-boyasiz-mercedes-cla-amg/39044833
39502867,Mercedes - Benz,E,2015,3199000,TRY,,Diesel,135000,,Otomatik,Siyah,İzmir,TR,https://www.arabam.com/ilan/galeriden-satilik-mercedes-benz-e-250-cdi-edition/aras-motors-2015-mercedes-e-250-cdi-edition-4-matic-hatasiz/39502867
39502869,Mercedes - Benz,E,2015,2350000,TRY,,Diesel,178000,,Otomatik,Beyaz,Van,TR,https://www.arabam.com/ilan/galeriden-satilik-mercedes-benz-e-250-cdi-amg/adacar-dan-makam-araci/39502869
39502000,Mercedes - Benz,C,2015,2100000,TRY,,Diesel,150000,,Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-mercedes-benz-c-200-d-exclusive/2015-mercedes-c200d-exclusive-hatasiz-emsalsiz-temizlikte/39502000
39501953,Mercedes - Benz,C,2015,1925000,TRY,,Diesel,169000,,Otomatik,Beyaz,Antalya,TR,https://www.arabam.com/ilan/galeriden-satilik-mercedes-benz-c-200-d-amg/scs-otomotiv-den-hatasiz-boyasiz-tramersiz/39501953
39501945,Mercedes - Benz,C,2015,1835750,TRY,,Diesel,140000,,Otomatik,Beyaz,İzmir,TR,https://www.arabam.com/ilan/galeriden-satilik-mercedes-benz-c-200-d-amg/2015-c200-amg-cam-tavan-burmester-ic-ambians-touchpad-imzali-sri/39501945
39501947,Mercedes - Benz,C,2015,2049000,TRY,,Diesel,173000,,Otomatik,Beyaz,Ankara,TR,https://www.arabam.com/ilan/galeriden-satilik-mercedes-benz-c-200-d-amg/i-sehem-i-hatasiz-boyasiz-tramersiz-amg-karta-12-ay-taksit/39501947
