id,brand,model,year,price,currency,hp,fuel_type,mileage,body_type,transmission,color,city,country,url
39475626,Mini,Cooper,2016,1359900,TRY,,Diesel,90750,,Otomatik,Mavi,İzmir,TR,https://www.arabam.com/ilan/galeriden-satilik-mini-cooper-1-5-d-pepper/36-ay-taksitle-2016-mini-cooper-1-5-pepper-boyasiz-sunroof/39475626
39044677,Mini,Cooper,2016,1050000,TRY,,Diesel,234000,,Otomatik,Mavi,Tekirdağ,TR,https://www.arabam.com/ilan/galeriden-satilik-mini-cooper-1-5-d-chili/hzr-motors-2016-mini-cooper-1-5-d-chili-cam-tavan-geri-gorus/39044677
39438749,Mini,Cooper,2016,1409000,TRY,,Diesel,63000,,Otomatik,Mavi,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-mini-cooper-1-5-d-chili/kuzen2-merkez-2016-mini-cooper-1-5-d-chili-otomatik/39438749
38997137,Mini,Cooper,2016,1345000,TRY,,Diesel,112523,,Otomatik,Kırmızı,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-mini-cooper-1-5-d-chili/kosifler-oto-bostanci-2016-model-mini-cooper-1-5d-chili/38997137
38479160,Mini,Cooper,2016,1275000,TRY,,Diesel,119000,,Otomatik,Beyaz,Antalya,TR,https://www.arabam.com/ilan/galeriden-satilik-mini-cooper-1-5-d-chili/2016-mini-cooper-119-binkm-burberry-recaro-ingilizstop-camtavan/38479160
39402737,Mini,Cooper,2016,1290008,TRY,,Diesel,136000,,Otomatik,Beyaz,Ankara,TR,https://www.arabam.com/ilan/sahibinden-satilik-mini-cooper-1-5-d-pepper/sahibinden-mini-cooper-1-5-d-pepper-2016-model/39402737
35285947,Mini,Cooper,2016,1139000,TRY,,Diesel,140000,,Otomatik,Mavi,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-mini-cooper-1-5-d-chili/ozturk-2016-mini-cooper-1-5d-chili-cift-renk-cam-tavan-116-hp/35285947
38997094,Mini,Cooper,2016,1379000,TRY,,Diesel,141000,,Otomatik,Kırmızı,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-mini-cooper-1-5-d-chili/mini-cooper-2016-otomatik-dizel-cam-tavan-sunroof/38997094
33794400,Mini,Cooper,2016,1220000,TRY,,Diesel,156000,,Otomatik,Mavi,İzmir,TR,https://www.arabam.com/ilan/galeriden-satilik-mini-cooper-1-5-d-chili/2016-mini-cooper-chili-cam-tavan-hatasiz-boyasiz-tramersiz/33794400
33707405,Mini,Cooper,2016,1025000,TRY,,Diesel,95000,,Otomatik,Mavi,Gaziantep,TR,https://www.arabam.com/ilan/galeriden-satilik-mini-cooper-1-5-d-chili/kirmizi-auto-dn-2o16-mini-cooper-1-5-d-chili-95-000-km/33707405
38618804,Mini,Cooper,2016,1245000,TRY,,Diesel,78000,,Otomatik,Kırmızı,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-mini-cooper-1-5-d-chili/2016-hb-otomatik-78binde-ozel-seri-ve-ozel-plakali-lansman-renk/38618804
39064736,Mini,Cooper,2016,1070000,TRY,,Diesel,189000,,Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-mini-cooper-1-5-d-chili/altindal-motors-mini-cooper-cihili-boyasiz-degisensiz/39064736
34674612,Mini,Cooper,2016,1300000,TRY,,Diesel,155000,,Otomatik,Sarı,Antalya,TR,https://www.arabam.com/ilan/galeriden-satilik-mini-cooper-1-5-d-salt-pepper-chili/galeri-guclu-den-hatasiz-boyasiz-kayitsiz-recarolu-ingiliz-stp/34674612
39223065,Mini,Cooper Clubman,2016,1179000,TRY,,,172000,,Otomatik,Kırmızı,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-mini-cooper-clubman-1-5-chili/2016-mini-cooper-clubman-1-5-chili-cam-tavan/39223065
38997157,Mini,Cooper,2016,1347000,TRY,,Diesel,120000,,Otomatik,Kırmızı,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-mini-cooper-1-5-d-chili/biyo-auto-mini-cooper-1-5d-chili/38997157
38997125,Mini,Cooper,2016,1895000,TRY,,,93000,,Otomatik,Gri,Eskişehir,TR,https://www.arabam.com/ilan/galeriden-satilik-mini-cooper-1-5-premium/turkiyede-tek-hayalet-nbt-harman-john-cooper-cabrio-hatasiz/38997125
38782474,Mini,Cooper Clubman,2016,1390000,TRY,,,145000,,Otomatik,Gri,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-mini-cooper-clubman-1-5-chili/420-000-tl-pesinat-48ay-senet-kredi-2016-clubman-1-5-chili/38782474
36378576,Mini,Cooper,2016,1310000,TRY,,Diesel,80000,,Otomatik,Kırmızı,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-mini-cooper-1-5-d-chili/joy-auto-2016-mini-cooper-1-5-d-chili-otomatik-hatasiz/36378576
38272415,Mini,Cooper,2016,1275000,TRY,,Diesel,154000,,Otomatik,Kırmızı,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-mini-cooper-1-5-d-pepper/boyasiz-382-pesinat-senetle-36ay-odemeli-k-kartina-12-taksitle/38272415
38696976,Mini,Cooper,2016,1095000,TRY,,Diesel,180000,,Otomatik,Beyaz,Konya,TR,https://www.arabam.com/ilan/galeriden-satilik-mini-cooper-1-5-d-pepper/2016-hatasiz-1-5-d-panoromik-cam-tavan-sunroof-7-vites/38696976
