id,brand,model,year,price,currency,hp,fuel_type,mileage,body_type,transmission,color,city,country,url
39506826,Porsche,Panamera,2023,18500000,TRY,,,35000,,Otomatik,Siyah,Adıyaman,TR,https://www.arabam.com/ilan/galeriden-satilik-porsche-panamera/umut-autodan-hatasiz-2023-porsche-panamera/39506826
35255819,Porsche,Panamera,2023,14100000,TRY,,,22000,,Otomatik,Siyah,Ankara,TR,https://www.arabam.com/ilan/galeriden-satilik-porsche-panamera/selective-2023-model-bayi-20-000km-hatasiz-siyah-bej-spor-egzoz/35255819
39045581,Porsche,718,2023,11200000,TRY,,Gasoline,0,,Otomatik,Siyah,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-porsche-718-cayman-4-0-gt4/garden-2023-syh-kreide-turbo-jnt-sogutma-koltuk-keyless/39045581
39505345,Porsche,Panamera,2023,15750000,TRY,,,32000,,Otomatik,Siyah,İzmir,TR,https://www.arabam.com/ilan/galeriden-satilik-porsche-panamera/2023-bayi-4-k-ist-koltuk-sogutma-airmatic-arka-aks-21-jnt-330hp/39505345
39005348,Porsche,Panamera,2023,15900000,TRY,,,32000,,Otomatik,Siyah,Antalya,TR,https://www.arabam.com/ilan/galeriden-satilik-porsche-panamera/kirbaslar-auto-2023-mod-32-000-km-panamera-4-platinium-edition/39005348
35136066,Porsche,Taycan,2023,10250000,TRY,,,45000,,Otomatik,Beyaz,Antalya,TR,https://www.arabam.com/ilan/galeriden-satilik-porsche-taycan/2023-taycan-gts-sky-tavan-sportdesign-sogutma-garantili-bayii/35136066
37239506,Porsche,Taycan,2023,13300000,TRY,,Gasoline,18000,,Otomatik,Gri,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-porsche-taycan-turbo/2023-bayi-taycan-turbo-blackberry-sogutma-head-up-y-ekrani-bose/37239506
38836041,Porsche,911,2023,32450000,TRY,,,7000,,Otomatik,Gri,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-porsche-911-targa-4-gts/aldatmaz-plaza-dan-boyasiz-2023-porsche-911-targa-4-gts-bayi/38836041
34368998,Porsche,911,2023,27499900,TRY,,,13000,,Otomatik,Lacivert,Kocaeli,TR,https://www.arabam.com/ilan/galeriden-satilik-porsche-911-carrera-4s/mg-bayii-ekcanda-2023-porsche-911-carrera-4s-lacivert-gri-orj/34368998
26820026,Porsche,Taycan,2023,7950000,TRY,,,6100,,Otomatik,Gri,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-porsche-taycan-4-cross-turismo/2023-bayi-porsche-taycan-4-cross-turismo-yolcu-ekrani-bose/26820026
32367950,Porsche,911,2023,37500000,TRY,,Gasoline,6100,,Otomatik,Siyah,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-porsche-911-turbo-s/trcar-2023-porsche-911-turbo-s-burmester-sogutma-hatasiz/32367950
38082225,Porsche,Taycan,2023,10250000,TRY,,,29900,,Otomatik,Siyah,Ankara,TR,https://www.arabam.com/ilan/galeriden-satilik-porsche-taycan-4s-performance-plus/tornado-motors-dan-hatasiz-4s-performance-plus-tam-dolu/38082225
39331182,Porsche,Taycan,2023,11750000,TRY,,,40849,,Otomatik,Gri,İzmir,TR,https://www.arabam.com/ilan/galeriden-satilik-porsche-taycan/vosmer-2023-porsche-taycan-gts-380-kw/39331182
38408668,Porsche,911,2023,24400000,TRY,,,9500,,Otomatik,Gri,Bursa,TR,https://www.arabam.com/ilan/galeriden-satilik-porsche-911-carrera-4s/yurdacan-motor-hatasiz-911-carrera-4s-sogutma-chrono-bose/38408668
38543109,Porsche,Panamera,2023,15950000,TRY,,,29000,,Otomatik,Siyah,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-porsche-panamera/2023-boyasiz-bayi-cikisli-ve-bakimli-panamera4-platinum-edition/38543109
37239535,Porsche,Taycan,2023,8500000,TRY,,,7600,,Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-porsche-taycan/vegas-motors-2023-porsche-taycan-isitma-yolcu-ekrani-boyasiz/37239535
39286677,Porsche,Taycan,2023,8750000,TRY,,,60387,,Otomatik,Lacivert,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-porsche-taycan-4s-performance-plus/flycar-2023-bayi-hatasiz-60-378km-sogutma-airmatic-ozel-ici-mor/39286677
39225174,Porsche,Panamera,2023,14650000,TRY,,Hybrid,46000,,Otomatik,Siyah,Konya,TR,https://www.arabam.com/ilan/galeriden-satilik-porsche-panamera-4-e-hybrid/hacilar-2023-bayi-panamera-4-hybrid-ici-marshala-head-up-a-aks/39225174
39045238,Porsche,911,2023,43750000,TRY,,Gasoline,0,,Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-porsche-911-turbo-s/garden-2023-beyaz-ici-kirmizi-burmester-lift-karbon-pkt/39045238
39005321,Porsche,Panamera,2023,15250000,TRY,,,29500,,Otomatik,Siyah,Antalya,TR,https://www.arabam.com/ilan/galeriden-satilik-porsche-panamera/avcioglu-2023-porsche-panamera-bayi-arka-aks-air-spor-egzoz/39005321
