id,brand,model,year,price,currency,hp,fuel_type,mileage,body_type,transmission,color,city,country,url
38556651,Seat,Leon,2018,1169000,TRY,,Gasoline,157000,,Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-seat-leon-1-2-tsi-style/380bin-pesin-24ay-vade-ile-2018-seat-leon-benzin-otomatik/38556651
39317742,Seat,Leon,2018,1150000,TRY,,Gasoline,158500,,Yarı Otomatik,Gri (Gümüş),İstanbul,TR,https://www.arabam.com/ilan/sahibinden-satilik-seat-leon-1-2-tsi-style/sahibinden-seat-leon-1-2-tsi-style-2018-model/39317742
35795828,Seat,Leon,2018,1420000,TRY,,Diesel,153500,,Otomatik,Gri,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-seat-leon-1-6-tdi-style/2018-hatasiz-boyasiz-tramersiz-cam-tavan-led-far-led-stop/35795828
39504241,Seat,Leon,2018,1339850,TRY,,Diesel,180000,,Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-seat-leon-1-6-tdi-style/2018-cam-tavanli-1-6tdi-dizel-otomatik-led-hayalet-navigasyon/39504241
38649852,Seat,Leon,2018,1395000,TRY,,Diesel,189000,,Yarı Otomatik,Gri,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-seat-leon-1-6-tdi-xcellence/kosen-2-84-oran-karta-12-takst-20-pesinat-12-24-36-ay-senet/38649852
37250233,Seat,Leon,2018,1259000,TRY,,Gasoline,97000,,Düz,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-seat-leon-1-4-tsi-fr/2018-seat-leon-1-4-tsi-fr-cam-tavan-servis-bakimli/37250233
38106858,Seat,Leon,2018,1425000,TRY,,Diesel,148000,,Yarı Otomatik,Beyaz,Kırklareli,TR,https://www.arabam.com/ilan/galeriden-satilik-seat-leon-1-6-tdi-xcellence/2018-seat-leon-1-6tdi-xcellence-dizel-otomatik-cam-tvn-taks-olur/38106858
39478599,Seat,Leon,2018,1229000,TRY,,Diesel,175000,,Otomatik,Füme,İzmir,TR,https://www.arabam.com/ilan/galeriden-satilik-seat-leon-1-6-tdi-style/uqka-2018-seat-leon-style-hayalet-cam-tavan/39478599
39011920,Seat,Leon,2018,1090000,TRY,,Diesel,245000,,Otomatik,Beyaz,Şanlıurfa,TR,https://www.arabam.com/ilan/galeriden-satilik-seat-leon-1-6-tdi-style/hatasiz-boyasiz-tramersiz/39011920
38585640,Seat,Leon,2018,860000,TRY,,Diesel,318000,,Otomatik,Beyaz,Adana,TR,https://www.arabam.com/ilan/galeriden-satilik-seat-leon-1-6-tdi-style/aracimiz-cok-temiz/38585640
39478592,Seat,Leon,2018,1065000,TRY,,Diesel,167500,,Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-seat-leon-1-6-tdi-style/2018-1-6tdi-dizel-otomatik-167-000km-bmv-plaka/39478592
37169757,Seat,Leon,2018,1119000,TRY,,Diesel,197000,,Yarı Otomatik,Beyaz,Ankara,TR,https://www.arabam.com/ilan/sahibinden-satilik-seat-leon-1-6-tdi-style/tertemiz-dizel-otomatik-leon/37169757
38130779,Seat,Leon,2018,1305000,TRY,,Diesel,188000,,Otomatik,Gri,Şırnak,TR,https://www.arabam.com/ilan/galeriden-satilik-seat-leon-1-6-tdi-style/melikhan-auto-dan-2018-seat-leon-1-6tdi-otomatik/38130779
38130072,Seat,Leon,2018,1044000,TRY,,Gasoline,75000,,Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-seat-leon-1-2-tsi-style/2018-model-75-000-km-otomatik-bakimli-leon/38130072
39443340,Seat,Leon,2018,1170000,TRY,,Diesel,183000,,Otomatik,Beyaz,Konya,TR,https://www.arabam.com/ilan/galeriden-satilik-seat-leon-1-6-tdi-style/2018-hatasiz-leon-dsg-otomatik-1-6-tdi-style-115/39443340
39441892,Seat,Leon,2018,1430000,TRY,,Electric,147000,,Yarı Otomatik,Gri,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-seat-leon-1-5-ecotsi-fr/430-bin-pesin-36-aya-kadar-kredi-emin-evim-fuzul-ev-anlasmali/39441892
39431753,Seat,Leon,2018,1225000,TRY,,Diesel,189000,,Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-seat-leon-1-6-tdi-style/2018-model-makyajli-kasa-cam-tavan-dizel-otomatik-leon/39431753
38981975,Seat,Ibiza,2018,1170000,TRY,,,85600,,Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-seat-ibiza-1-0-ecotsi-style/2018-model-seat-ibiza-degisensiz-tramersiz-dusuk-km/38981975
39443824,Seat,Ibiza,2018,950000,TRY,,,166000,,Yarı Otomatik,Turuncu,Bursa,TR,https://www.arabam.com/ilan/sahibinden-satilik-seat-ibiza-1-0-ecotsi-fr/sahibinden-seat-ibiza-1-0-ecotsi-fr-2018-model/39443824
37710513,Seat,Leon,2018,1635000,TRY,,,115000,,Yarı Otomatik,Füme,Niğde,TR,https://www.arabam.com/ilan/galeriden-satilik-seat-leon-1-4-ecotsi-xcellence/roll-cars-dan-hayalet-ekran-eco-excellence/37710513
