id,brand,model,year,price,currency,hp,fuel_type,mileage,body_type,transmission,color,city,country,url
39464806,Suzuki,Swift,2021,1089000,TRY,,,95000,,Otomatik,Turuncu,Bursa,TR,https://www.arabam.com/ilan/sahibinden-satilik-suzuki-swift-1-2-glx/sahibinden-suzuki-swift-1-2-glx-premium-2021-model/39464806
39477229,Suzuki,Swift,2021,1239000,TRY,,,87000,,Otomatik,Kırmızı,Ankara,TR,https://www.arabam.com/ilan/sahibinden-satilik-suzuki-swift-1-2-glx/sahibinden-hatasiz-suzuki-swift-1-2-glx-2021-full-paket-cift-renk-son-fiyat/39477229
39048807,Suzuki,Swift,2021,1030000,TRY,,,94000,,Otomatik,Mavi,Gaziantep,TR,https://www.arabam.com/ilan/galeriden-satilik-suzuki-swift-1-2-hibrit-glx-premium/2021-suzuki-swift-1-2-hibrit-glx-premium-94bin-km-otomatik/39048807
35215706,Suzuki,Swift,2021,1265000,TRY,,,48000,,Otomatik,Gri,İstanbul,TR,https://www.arabam.com/ilan/sahibinden-satilik-suzuki-swift-1-2-gl/sahibinden-suzuki-swift-1-2-gl-2021-model-bayandan-temiz-sifir-gibi/35215706
39444022,Suzuki,Swift,2021,845000,TRY,,Hybrid,81000,,Düz,Füme,Gaziantep,TR,https://www.arabam.com/ilan/galeriden-satilik-suzuki-swift-1-2-hibrit-gl/kirmizi-auto-dn-2021-suzuki-swift-1-2-mild-hybrid-81-000-km/39444022
36624789,Suzuki,Swift,2021,1265000,TRY,,Hybrid,46000,,Otomatik,Kırmızı,Aydın,TR,https://www.arabam.com/ilan/galeriden-satilik-suzuki-swift-1-2-glx/orjinal-2021-suziki-swift-1-2-hybrid-glx-premium/36624789
38424665,Suzuki,Swift,2021,1258000,TRY,,Hybrid,19326,,Otomatik,Beyaz,Samsun,TR,https://www.arabam.com/ilan/galeriden-satilik-suzuki-swift-1-2-hibrit-glx-premium/kamer-den-2021-suzuki-swift-1-2-glx-premium-hybrid-otomatik/38424665
37273156,Suzuki,Swift,2021,1129000,TRY,,,65000,,Otomatik,Gri,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-suzuki-swift-1-2-glx/pasahan-auto-dan-otomatik-keylessgo-geri-gorus-glx-premium-full/37273156
38274462,Suzuki,Swift,2021,1195000,TRY,,,84000,,Otomatik,Mavi,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-suzuki-swift-1-2-hibrit-gl-techno/2021-suzuki-swift-hibrit-bakim-muayene-yeni/38274462
39182702,Suzuki,Swift,2021,1150000,TRY,,,63350,,Otomatik,Kırmızı,Ankara,TR,https://www.arabam.com/ilan/sahibinden-satilik-suzuki-swift-1-2-gl/sahibinden-suzuki-swift-1-2-gl-2021-model/39182702
38164502,Suzuki,Swift,2021,1249750,TRY,,,36000,,Otomatik,Mavi,Bursa,TR,https://www.arabam.com/ilan/galeriden-satilik-suzuki-swift-1-2-hibrit-glx-premium/seyhan-motors-suzuki-swift-1-2-hybrit-36-000km/38164502
39160650,Suzuki,Swift,2021,1249750,TRY,,,27000,,Otomatik,Kırmızı,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-suzuki-swift-1-2-hibrit-glx-premium/kia-ersu-yurt-2021-suzuki-swift-1-2-hybird-glx-premium-otomatik/39160650
38397546,Suzuki,Swift,2021,1150000,TRY,,,47000,,Düz,Gri (metalik),Aydın,TR,https://www.arabam.com/ilan/galeriden-satilik-suzuki-swift-1-2-gl/suzuki-swift-hybrit-hatasiz-sifirdan-farksiz-47-bin-kmde/38397546
37988856,Suzuki,Swift,2021,1180000,TRY,,,83000,,Otomatik,Gri (metalik),Sakarya,TR,https://www.arabam.com/ilan/sahibinden-satilik-suzuki-swift-1-2-gl/sahibinden-suzuki-swift-1-2-gl-2021-model/37988856
