id,brand,model,year,price,currency,hp,fuel_type,mileage,body_type,transmission,color,city,country,url
38394942,Toyota,Corolla,2023,1690000,TRY,,Hybrid,70000,,Otomatik,Gri,Bursa,TR,https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-8-hybrid-flame-x-pack/2024-cikis-corolla-flame-x-pack-70-km-sunrooflu-yetkili-bakimli/38394942
39099185,Toyota,Yaris,2023,1475000,TRY,,,28000,,Otomatik,Beyaz,Ankara,TR,https://www.arabam.com/ilan/galeriden-satilik-toyota-yaris-1-5-dream-x-pack/akm-motors-2023-hatasiz-boyasiz-s-bakimli-ilk-el-g-gorus-s-takip/39099185
39013305,Toyota,Corolla,2023,1515000,TRY,,,46000,,Otomatik,Beyaz,Kocaeli,TR,https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-5-vision-plus/hatasiz-extrali-2023-model-toyota-corolla-otomatik/39013305
39331351,Toyota,Corolla,2023,1478500,TRY,,,57000,,Otomatik,Füme,İzmir,TR,https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-5-flame-x-pack/deluxe-motors-2023-toyota-corolla-1-5-flame-x-pack-sunroof-20/39331351
38417058,Toyota,Corolla,2023,1750000,TRY,,,69000,,Otomatik,Mavi,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-5-passion-x-pack/2023-toyota-corolla-1-5-passion-xpack-pasifik-mavi-otonom/38417058
39499955,Toyota,Corolla,2023,1650000,TRY,,,10000,,Otomatik,Füme,Sakarya,TR,https://www.arabam.com/ilan/sahibinden-satilik-toyota-corolla-1-5-dream/sahibinden-toyota-corolla-1-5-dream-2023-model/39499955
39507565,Toyota,Corolla,2023,1455000,TRY,,,27000,,Otomatik,Gri,Kahramanmaraş,TR,https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-5-dream/marel-plaza-dan-2023-toyota-coralla-1-5-dream-otomatik-125-hp/39507565
39508889,Toyota,Yaris,2023,1610000,TRY,,,19610,,Otomatik,Gri,Kocaeli,TR,https://www.arabam.com/ilan/galeriden-satilik-toyota-yaris-1-5-dream-multidrive-s/2023-toyota-corolla-1-5-dream-multidrive-s/39508889
39507550,Toyota,Corolla,2023,1479750,TRY,,,33239,,Otomatik,Mavi,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-5-dream/avek-otomotiv-den-orjinal-2023-toyota-corolla-1-5-dream/39507550
39300082,Toyota,Corolla,2023,1420000,TRY,,,65000,,Otomatik,Gri,Kayseri,TR,https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-5-vision/dod-ozaltin-2023-toyota-corolla-1-5-vision-boyasiz/39300082
39050385,Toyota,Corolla,2023,1459000,TRY,,,21000,,Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-5-vision/hatasiz-boyasiz-tramersiz-yetkili-servis-bakimli-23-corolla/39050385
39504511,Toyota,Corolla,2023,1100000,TRY,,,100000,,Otomatik,Mavi,Karabük,TR,https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-5-vision-plus/2023-toyota-corolla-otomatik-vision-plus/39504511
39050329,Toyota,Corolla,2023,1450000,TRY,,,44000,,Otomatik,Gri,Bursa,TR,https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-5-vision/hatasiz-boyasiz-tramersiz/39050329
39010394,Toyota,Corolla,2023,1795000,TRY,,,28421,,Otomatik,Gri,Afyonkarahisar,TR,https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-5-flame-x-pack/toyota-hisar-dan-2023-corolla-1-5-flame-x-pack-otomatik/39010394
39014029,Toyota,Corolla,2023,1639900,TRY,,Hybrid,58000,,Otomatik,Beyaz,Ankara,TR,https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-8-hybrid-dream/2023-toyota-corolla-1-8-hybrid-dream-58-000-km/39014029
39014017,Toyota,Corolla,2023,1669900,TRY,,Hybrid,65000,,Otomatik,Mavi,Ankara,TR,https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-8-hybrid-dream/2023-toyota-corolla-1-8-hybrid-dream-65-000-km-140-bg/39014017
39010074,Toyota,Corolla,2023,1526000,TRY,,,39000,,Otomatik,Mavi,Adana,TR,https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-5-dream/csn-icon-otomotiv-2023-model-boyasiz-degisen-siz-km-39-bin/39010074
35351604,Toyota,Corolla,2023,1380000,TRY,,,30000,,Otomatik,Gri,İstanbul,TR,https://www.arabam.com/ilan/sahibinden-satilik-toyota-corolla-1-5-flame-x-pack/sahibinden-toyota-corolla-1-5-flame-x-pack-2023-model-istanbul-agir-hasar-kayitli/35351604
39049100,Toyota,Corolla,2023,1639000,TRY,,,75697,,Otomatik,Gri,Ankara,TR,https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-5-dream-x-pack/akbak-plaza-0-79-krdi-ve-k-k-12-takst-hatasiz-corolla-cam-tavan/39049100
39049099,Toyota,Corolla,2023,1657000,TRY,,,36000,,Otomatik,Mavi,Ankara,TR,https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-5-dream-x-pack/2023-corolla-1-5-dream-x-pack-buz-gri-ic-bej-sunroof-36-000km/39049099
