id,brand,model,year,price,currency,hp,fuel_type,mileage,body_type,transmission,color,city,country,url
38526795,Volkswagen,Passat,2019,1615000,TRY,,Gasoline,164000,,Otomatik,Füme,Isparta,TR,https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-5-tsi-impression/passat-1-5-tsi-otomatik-150-act/38526795
39014235,Volkswagen,Passat,2019,1950000,TRY,,Diesel,103000,,Yarı Otomatik,Gri,Adana,TR,https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-business/2019-model-1-6-tdi-volkswagen-passat-103-000-km-elegance-donusum/39014235
38952140,Volkswagen,Passat,2019,1935000,TRY,,Diesel,104000,,Yarı Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-business/erdogan-auto-besni-den-passat-1-6-tdi-business-2019-model-2020-cikisli-degisen-boya-yok/38952140
38181475,Volkswagen,Golf,2019,1565000,TRY,,Gasoline,90000,,Otomatik,Beyaz,Kahramanmaraş,TR,https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-0-tsi-highline/alp-luxury-cars-2019-md-golf-7-5-1-0-tsi-highline-c-tavan-dsg/38181475
39357796,Volkswagen,Polo,2019,1109000,TRY,,Diesel,155000,,Yarı Otomatik,Beyaz,Gaziantep,TR,https://www.arabam.com/ilan/galeriden-satilik-volkswagen-polo-1-6-tdi-comfortline/2019-vw-polo-155-km-dsg-1-6-dizel-yeni-kasa-ekstrali-uygun/39357796
39220842,Volkswagen,Golf,2019,1439000,TRY,,Gasoline,54690,,Otomatik,Gri,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-0-tsi-comfortline/2019-golf-1-0-tsi-comfortline-dsg-54-000-kmde/39220842
31767817,Volkswagen,Golf,2019,1190000,TRY,,Diesel,226000,,Yarı Otomatik,Beyaz,Kayseri,TR,https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-6-tdi-bluemotion-comfortline/2019-ww-golf-comfortline-degisensiz-tramersiz/31767817
34407772,Volkswagen,Passat,2019,1850000,TRY,,Diesel,115000,,Yarı Otomatik,Beyaz,Kahramanmaraş,TR,https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-impression/boyasiz-vw-passat-yeni-kasa-1-6-tdi-120-ps-dizel-otomatik-beyaz/34407772
39501553,Volkswagen,Passat,2019,1610000,TRY,,Diesel,167000,,Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-6-tdi-bluemotion-impression/yeni-logo-passat/39501553
39508041,Volkswagen,Golf,2019,1520000,TRY,,Diesel,131000,,Yarı Otomatik,Gri,Ankara,TR,https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-6-tdi-bluemotion-comfortline/2019-ww-golf-1-6tdi-dsg-f-1-115-hp-hatasiz-131bin-km-k-12-taksit/39508041
39506632,Volkswagen,Passat,2019,2169000,TRY,,Gasoline,97000,,Yarı Otomatik,Bej,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-5-tsi-business/hatasiz-boyasiz-tramersiz-cam-tavan-lansman-renk/39506632
39506635,Volkswagen,Passat,2019,2250000,TRY,,Gasoline,29000,,Yarı Otomatik,Şampanya,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-5-tsi-business/2019-volkswagen-passat-business-cam-tavan-boyasiz/39506635
37631606,Volkswagen,Passat,2019,1749850,TRY,,Diesel,135000,,Yarı Otomatik,Siyah,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-business/2020-cikisli-135-000kmde-1-6tdi-dizel-otomatik-120hp-bluemotion/37631606
35561786,Volkswagen,Golf,2019,1825000,TRY,,Diesel,105000,,Yarı Otomatik,Beyaz,Antalya,TR,https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-6-tdi-bluemotion-highline/brk-auto-2019-hatasiz-boyasiz-vw-golf-1-6-tdi-highline-ic-bej/35561786
39014152,Volkswagen,Passat,2019,1490000,TRY,,Diesel,235000,,Yarı Otomatik,Siyah,Diyarbakır,TR,https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-business/2019-ww-passat-impression/39014152
39495625,Volkswagen,Passat,2019,1650000,TRY,,Diesel,123000,,Yarı Otomatik,Siyah,İstanbul,TR,https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-6-tdi-bluemotion-business/sahibinden-volkswagen-passat-1-6-tdi-bluemotion-business-2019-model/39495625
39049786,Volkswagen,Polo,2019,1290000,TRY,,Gasoline,27000,,Yarı Otomatik,Beyaz,Mardin,TR,https://www.arabam.com/ilan/galeriden-satilik-volkswagen-polo-1-0-tsi-comfortline/vw-polo-1-0tsi-comfortline-hatasiz-boyasiz/39049786
39069145,Volkswagen,Passat,2019,2085000,TRY,,Gasoline,190000,,Yarı Otomatik,Beyaz,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-5-tsi-elegance/chila-2020-cikisli-1-5-tsi-elegance-hatasiz-boyasiz-tramersiz/39069145
35707095,Volkswagen,Golf,2019,1745000,TRY,,Diesel,114000,,Yarı Otomatik,Beyaz,Antalya,TR,https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-6-tdi-bluemotion-highline/hatasiz-degisensiz-114bin-kmde-dizel-highline-golf/35707095
38029173,Volkswagen,Passat,2019,2155000,TRY,,Gasoline,92000,,Yarı Otomatik,Şampanya,Nevşehir,TR,https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-5-tsi-business/zet-car-passat-1-5-tsi-business-cam-tavan-hayalet-92km/38029173
