id,brand,model,year,price,currency,hp,fuel_type,mileage,body_type,transmission,color,city,country,url
39009640,Volvo,S90,2023,4950000,TRY,,Diesel,35000,,Otomatik,Mavi,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-volvo-s90-2-0-d-b5-plus-bright/vrd-auto-2023-volvo-s90-hatasiz/39009640
39052240,Volvo,S90,2023,4900000,TRY,,Diesel,40000,,Otomatik,Siyah,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-volvo-s90-2-0-d-b5-plus-bright/vrd-auto-volvo-s90-plus-bright/39052240
39500825,Volvo,V90 Cross Country,2023,3649950,TRY,,Hybrid,137000,,Otomatik,Gri,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-volvo-v90-cross-country-2-0-b5-ultimate-bright/mer-can-otomotiv-den-hybrid-tam-dolu-airmatic-headup-harman/39500825
37390548,Volvo,S90,2023,3400000,TRY,,Diesel,45000,,Otomatik,Mavi,Gaziantep,TR,https://www.arabam.com/ilan/galeriden-satilik-volvo-s90-2-0-d-b5-plus-bright/volvo-s90-b5-plus-bright-masaj-360-kamera-has-otomotiv/37390548
39492811,Volvo,S90,2023,5200000,TRY,,,47000,,Otomatik,Gri (Gümüş),Samsun,TR,https://www.arabam.com/ilan/sahibinden-satilik-volvo-s90-2-0-d5-plus-bright/sahibinden-volvo-s90-2-0-d5-plus-bright-2023-model/39492811
37390599,Volvo,S90,2023,4280000,TRY,,Diesel,52763,,Otomatik,Mavi,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-volvo-s90-2-0-d-b5-plus-bright/ozkinaci-dan-2023-volvo-s90-b5-plus-bright-20kdv-karta-taksit/37390599
39052412,Volvo,S90,2023,4200000,TRY,,Diesel,93000,,Otomatik,Beyaz,Trabzon,TR,https://www.arabam.com/ilan/galeriden-satilik-volvo-s90-2-0-d-b5-plus-bright/selim-auto-dan-2024-cikisli-volvo-s-90-2-0-d-hybrid-hatasiz-ful/39052412
38664114,Volvo,S90,2023,4300000,TRY,,Diesel,47000,,Otomatik,Gri,Samsun,TR,https://www.arabam.com/ilan/galeriden-satilik-volvo-s90-2-0-d-b5-ultimate-bright/tk-motor-s-dan-volvo-s90/38664114
39013378,Volvo,V90 Cross Country,2023,4930000,TRY,,,33000,,Otomatik,Siyah,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-volvo-v90-cross-country-2-0-b5-plus-bright/2023-v90-cross-country-33-000-km-boyasiz-head-up-buyuk-jant/39013378
39009625,Volvo,S90,2023,4295000,TRY,,Diesel,49200,,Otomatik,Gri,Adana,TR,https://www.arabam.com/ilan/galeriden-satilik-volvo-s90-2-0-d-b5-plus-bright/2023-s90-b5-boyasiz-49-bin-km/39009625
39444592,Volvo,S90,2023,5300000,TRY,,Diesel,9000,,Otomatik,Füme,Kocaeli,TR,https://www.arabam.com/ilan/galeriden-satilik-volvo-s90-2-0-d-b5-plus-bright/defcar-2023-volvo-s90-2-0d-b5-plus-bright-hatasiz-boyasiz/39444592
36107853,Volvo,S90,2023,4750000,TRY,,Diesel,36000,,Otomatik,Beyaz,Bursa,TR,https://www.arabam.com/ilan/galeriden-satilik-volvo-s90-2-0-d-b5-plus-bright/marka-otomotiv-den-volvo-s90-2023-model-hatasiz-20-faturali/36107853
39009639,Volvo,S90,2023,4575000,TRY,,Diesel,58000,,Otomatik,Beyaz,Malatya,TR,https://www.arabam.com/ilan/galeriden-satilik-volvo-s90-2-0-d-b5-plus-bright/serin-auto-2023-s90-harman-isitma-sogutma-360-58-000km-hatasiz/39009639
38089664,Volvo,S90,2023,5100000,TRY,,Diesel,23000,,Otomatik,Kahverengi,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-volvo-s90-2-0-d-b5-plus-bright/2023-volvo-s90-dizel-hiybrid-4x4-plus-bright-23-000-km-orj/38089664
39401903,Volvo,S90,2023,4450000,TRY,,Diesel,75000,,Otomatik,Gri,Konya,TR,https://www.arabam.com/ilan/galeriden-satilik-volvo-s90-2-0-d-b5-plus-bright/estetik-2023-volvo-s90-2-0-b5-hyrbrid-awd-plus-bright-hatasiz/39401903
39384675,Volvo,S90,2023,4375000,TRY,,Diesel,70000,,Otomatik,Mavi,Batman,TR,https://www.arabam.com/ilan/galeriden-satilik-volvo-s90-2-0-d-b5-plus-dark/ibrahimogullari-auto-dan-volvo-s90-hatasiz-boyasiz/39384675
38532849,Volvo,S90,2023,4325000,TRY,,Diesel,110000,,Otomatik,Mavi,İzmir,TR,https://www.arabam.com/ilan/galeriden-satilik-volvo-s90-2-0-d-b5-plus-bright/beyturk-2023-volvo-s90-2-0d-b5-plus-bright-hatasiz/38532849
37390592,Volvo,S90,2023,4360000,TRY,,Diesel,90000,,Otomatik,Siyah,İzmir,TR,https://www.arabam.com/ilan/galeriden-satilik-volvo-s90-2-0-d-b5-plus-bright/2023-volvo-s90-dizel-otom-plus-brigth-hatasiz-boyasiz-tramersiz/37390592
38073014,Volvo,S60,2023,3429000,TRY,,,73000,,Otomatik,Gri,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-volvo-s60-2-0-b5-plus-dark/samcar-2023-plus-dark-awd-harman-4-k-isitma-sogutma-hatasiz/38073014
36501663,Volvo,V90 Cross Country,2023,4900000,TRY,,,8800,,Otomatik,Gri,İstanbul,TR,https://www.arabam.com/ilan/galeriden-satilik-volvo-v90-cross-country-2-0-b5-ultimate-bright/yasli-auto-2024-cikisli-8-800-km-boyasiz-hatasiz-4x4/36501663
